code,lambda,data collector,publication
LARO,22.07,Manuel Sevenello,In prep
ARCA,69.04,Trace Martyn,"Bimler et al,2024"
GOPU,75.59,Trace Martyn,"Bimler et al,2024"
HYGL,21.91,Trace Martyn,"Bimler et al,2024"
MEDI,17.7,Trace Martyn,"Bimler et al,2024"
PEAI,282.25,Trace Martyn,"Bimler et al,2024"
PLDE,37.09,Trace Martyn,"Bimler et al,2024"
POAR,459.9,Trace Martyn,"Bimler et al,2024"
PTGA,27.9,Trace Martyn,"Bimler et al,2024"
STPA,41.32,Trace Martyn,"Bimler et al,2024"
TRCY,10.57,Trace Martyn,"Bimler et al,2024"
GORO,41.72,Trace Martyn,"Bimler et al,2024"
WAAC,279.34,Trace Martyn,"Bimler et al,2024"
