Product code,Station Number,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,8072,1934,22.60,1.50,87.30,120.60,8.90,50.70,55.30,45.00,11.10,0.50,7.90,3.30,414.70
IDCJAC0001,8072,1935,22.40,20.10,23.20,56.90,17.30,28.20,66.60,62.00,19.60,4.10,0.00,0.50,320.90
IDCJAC0001,8072,1936,19.60,6.90,25.30,4.10,31.00,48.60,24.20,37.40,5.80,4.60,2.30,17.20,227.00
IDCJAC0001,8072,1937,4.60,18.50,4.30,20.10,63.80,41.90,5.80,42.10,9.70,4.80,10.40,0.00,226.00
IDCJAC0001,8072,1938,3.80,0.00,26.70,47.30,8.40,14.80,64.90,19.00,8.10,5.00,15.70,0.00,213.70
IDCJAC0001,8072,1939,52.90,66.80,1.00,1.00,55.50,120.40,70.40,29.30,1.80,17.50,24.70,0.00,441.30
IDCJAC0001,8072,1940,11.70,0.00,0.00,0.00,36.80,51.30,64.00,12.20,4.30,17.00,0.80,7.90,206.00
IDCJAC0001,8072,1941,0.00,11.90,0.80,87.10,42.00,62.90,30.90,38.40,19.10,9.70,26.20,30.50,359.50
IDCJAC0001,8072,1942,6.70,2.50,68.60,33.50,55.60,54.60,31.70,37.60,21.50,10.80,0.00,13.00,336.10
IDCJAC0001,8072,1943,1.30,46.50,50.10,31.50,21.60,54.80,38.10,22.00,19.50,8.40,0.00,25.40,319.20
IDCJAC0001,8072,1944,0.50,0.00,28.70,0.00,47.10,26.70,99.60,57.90,5.50,0.00,0.80,3.00,269.80
IDCJAC0001,8072,1945,0.00,18.10,6.10,3.00,49.20,120.00,31.40,61.10,25.40,4.10,21.40,1.80,341.60
IDCJAC0001,8072,1946,0.00,16.50,3.60,14.50,40.30,102.10,96.70,51.30,4.60,4.30,46.70,0.00,380.60
IDCJAC0001,8072,1947,1.30,8.40,17.00,8.70,54.70,38.60,49.00,17.00,23.60,41.70,2.50,1.30,263.80
IDCJAC0001,8072,1948,1.80,3.30,24.10,20.00,0.80,32.60,28.80,41.10,10.90,0.50,27.90,0.00,191.80
IDCJAC0001,8072,1949,1.80,37.50,2.60,2.60,0.80,35.10,79.30,67.60,34.20,8.70,18.30,0.00,288.50
IDCJAC0001,8072,1950,24.40,0.00,0.00,0.00,77.90,34.10,50.60,49.00,26.30,14.50,1.30,0.00,278.10
IDCJAC0001,8072,1951,21.30,33.50,5.90,59.90,10.10,115.10,73.90,32.70,16.30,10.70,0.50,8.10,388.00
IDCJAC0001,8072,1952,10.40,21.60,3.00,3.60,31.90,14.10,66.60,18.80,11.40,13.00,0.80,7.90,203.10
IDCJAC0001,8072,1953,0.00,1.00,97.00,6.70,87.60,75.10,31.20,8.40,4.30,11.10,0.00,0.00,322.40
IDCJAC0001,8072,1954,1.00,0.00,0.00,8.40,53.60,20.70,40.50,34.60,10.20,0.50,2.80,6.60,178.90
IDCJAC0001,8072,1955,16.80,40.30,1.80,30.90,87.40,16.70,32.80,84.90,17.60,24.40,0.00,4.10,357.70
IDCJAC0001,8072,1956,0.00,0.00,8.90,5.60,67.70,84.50,88.00,13.90,1.80,8.30,22.10,0.00,300.80
IDCJAC0001,8072,1957,4.60,0.00,3.50,5.40,28.10,123.40,19.80,47.50,4.30,3.60,0.00,0.80,241.00
IDCJAC0001,8072,1958,50.30,0.00,0.00,3.60,80.00,30.00,147.20,109.00,45.20,6.30,16.00,23.70,511.30
IDCJAC0001,8072,1959,0.00,1.30,23.90,32.50,4.10,104.40,27.20,83.80,4.80,16.50,1.50,3.80,303.80
IDCJAC0001,8072,1960,11.20,38.30,62.80,6.80,72.10,28.00,86.60,18.20,49.40,7.60,5.80,0.00,386.80
IDCJAC0001,8072,1961,21.80,0.00,0.00,150.20,23.70,112.20,42.90,25.40,8.70,2.30,0.00,4.30,391.50
IDCJAC0001,8072,1962,16.30,12.20,4.30,8.40,91.00,71.40,40.50,18.80,9.70,19.90,9.70,31.50,333.70
IDCJAC0001,8072,1963,51.30,32.20,3.30,14.30,96.20,68.50,74.60,98.70,9.70,1.30,7.80,2.30,460.20
IDCJAC0001,8072,1964,0.00,33.00,8.90,10.30,0.00,128.00,87.60,43.00,13.00,12.00,4.00,3.60,343.40
IDCJAC0001,8072,1965,15.30,0.00,4.10,5.90,62.60,94.20,59.50,54.90,13.40,22.80,28.30,0.00,361.00
IDCJAC0001,8072,1966,3.80,27.50,7.60,103.90,3.80,60.70,39.70,31.30,15.90,34.30,7.60,0.00,336.10
IDCJAC0001,8072,1967,46.20,9.60,0.80,11.40,74.10,75.10,76.50,19.80,8.10,4.10,2.00,11.70,339.40
IDCJAC0001,8072,1968,51.10,0.80,11.30,49.40,32.00,129.40,34.60,26.80,21.20,7.60,7.10,0.00,371.30
IDCJAC0001,8072,1969,0.50,1.30,0.00,14.20,46.00,32.30,20.30,11.20,14.30,12.00,9.40,0.50,162.00
IDCJAC0001,8072,1970,2.80,101.60,0.00,32.10,17.40,108.20,22.30,22.60,43.10,11.90,7.10,9.90,379.00
IDCJAC0001,8072,1971,14.20,16.50,151.40,2.00,18.10,31.00,21.20,26.30,32.80,21.90,22.10,1.80,359.30
IDCJAC0001,8072,1972,2.80,0.30,1.80,4.10,22.70,71.10,115.40,41.90,14.50,5.60,0.00,2.50,282.70
IDCJAC0001,8072,1973,8.60,7.10,0.00,22.30,32.80,85.80,61.60,37.60,59.70,6.40,33.30,0.00,355.20
IDCJAC0001,8072,1974,2.40,6.00,26.00,40.00,94.00,53.00,69.00,43.00,7.00,18.00,4.00,16.00,378.40
IDCJAC0001,8072,1975,0.00,3.00,41.00,66.00,27.00,33.00,46.00,26.00,17.40,43.20,0.00,0.00,302.60
IDCJAC0001,8072,1976,9.00,13.00,0.00,14.20,30.00,18.00,10.00,31.00,13.00,4.50,6.00,0.00,148.70
IDCJAC0001,8072,1977,0.00,0.00,0.00,28.00,22.00,21.00,11.00,51.00,13.00,30.00,0.00,20.00,196.00
IDCJAC0001,8072,1978,5.00,43.00,0.00,0.00,14.00,28.00,83.00,12.00,32.00,10.00,11.00,21.00,259.00
IDCJAC0001,8072,1979,0.00,18.00,15.00,7.00,19.00,39.00,NA,NA,NA,NA,NA,NA,NA
IDCJAC0001,8072,1980,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDCJAC0001,8072,1981,0.00,0.00,0.00,2.00,44.60,44.50,68.70,46.20,8.00,6.50,14.00,0.00,234.50
IDCJAC0001,8072,1982,37.00,3.00,0.00,5.00,20.00,66.00,17.40,19.40,38.10,21.00,0.10,9.40,236.40
IDCJAC0001,8072,1983,1.60,1.20,20.00,6.20,5.40,102.10,43.60,70.00,10.20,0.00,35.60,36.40,332.30
IDCJAC0001,8072,1984,0.00,0.00,78.20,58.40,89.70,10.20,37.20,23.20,26.40,15.00,13.40,0.00,351.70
IDCJAC0001,8072,1985,0.00,47.50,5.60,0.00,9.00,20.80,56.10,27.00,21.60,2.40,0.00,0.00,190.00
IDCJAC0001,8072,1986,8.60,23.40,10.40,0.30,50.00,70.00,36.40,33.20,5.20,18.60,0.00,0.80,256.90
IDCJAC0001,8072,1987,0.00,7.20,19.40,26.00,25.00,38.60,44.40,32.00,7.20,11.20,17.10,7.40,235.50
IDCJAC0001,8072,1988,0.00,4.60,22.60,94.80,90.40,37.40,53.40,49.60,16.60,4.30,5.40,38.80,417.90
IDCJAC0001,8072,1989,9.00,26.50,1.40,33.00,64.60,61.60,28.00,11.20,5.60,12.00,0.40,0.00,253.30
IDCJAC0001,8072,1990,86.00,6.80,16.20,19.60,30.70,32.40,52.40,34.60,20.30,34.70,2.00,0.00,335.70
IDCJAC0001,8072,1991,21.00,0.00,2.00,14.60,18.40,56.60,55.60,29.60,16.00,23.80,15.00,57.60,310.20
IDCJAC0001,8072,1992,25.60,19.40,24.40,66.60,3.20,74.60,21.60,85.80,52.60,10.60,9.80,15.20,409.40
IDCJAC0001,8072,1993,0.00,0.00,2.00,14.20,125.40,60.80,39.70,33.40,23.20,13.00,13.80,1.50,327.00
IDCJAC0001,8072,1994,0.00,28.20,0.00,0.00,56.20,32.60,19.40,58.10,14.50,0.80,0.00,0.00,209.80
IDCJAC0001,8072,1995,12.60,31.00,30.00,28.10,31.10,59.70,91.80,13.40,22.50,8.60,1.30,5.20,335.30
IDCJAC0001,8072,1996,0.00,7.20,0.00,46.80,18.40,49.30,99.60,51.20,27.20,6.20,30.60,5.20,341.70
IDCJAC0001,8072,1997,0.00,28.40,0.00,83.40,23.80,24.00,24.40,36.40,39.40,6.60,5.40,0.00,271.80
IDCJAC0001,8072,1998,0.00,0.00,0.00,0.00,81.10,64.80,66.60,41.30,14.20,0.00,12.80,19.50,300.30
IDCJAC0001,8072,1999,0.00,0.00,106.10,8.60,164.60,42.10,70.40,27.00,36.20,19.60,35.00,60.00,569.60
IDCJAC0001,8072,2000,58.80,0.00,144.20,7.80,5.90,17.60,50.90,NA,15.00,0.00,0.30,9.00,NA
IDCJAC0001,8072,2001,67.20,NA,3.20,0.00,47.00,4.00,74.40,26.40,32.60,19.80,38.00,0.00,NA
IDCJAC0001,8072,2002,0.00,0.00,3.00,15.30,5.40,26.70,29.70,18.00,13.10,8.10,2.20,29.00,150.50
