plot,treatment,focal,id.focal,seed,year,reserve
8B,1,CRAS,7,NA,2017,perenjori
2A,0,HYGL,287,NA,2017,perenjori
8B,1,CRAS,2,NA,2017,perenjori
8B,1,CRAS,5,NA,2017,perenjori
3B,1,CRAS,2,NA,2017,perenjori
9A,0,CRAS,8,NA,2017,perenjori
8B,1,CRAS,6,NA,2017,perenjori
9A,0,CRAS,7,NA,2017,perenjori
7A,0,POMU,21,NA,2017,perenjori
9B,1,CRAS,5,NA,2017,perenjori
9A,0,CRAS,6,NA,2017,perenjori
1A,0,UNK,FB,NA,2017,perenjori
2A,0,CRAS,4,NA,2017,perenjori
7B,1,CHPS,10,NA,2017,perenjori
8B,1,CRAS,1,NA,2017,perenjori
2A,0,HYGL,290,NA,2017,perenjori
9A,0,CRAS,1,NA,2017,perenjori
9A,0,CRAS,5,NA,2017,perenjori
6B,1,POMU,1,NA,2017,perenjori
9A,0,CRAS,9,NA,2017,perenjori
8A,0,CRAS,10,NA,2017,perenjori
8A,0,CRAS,3,NA,2017,perenjori
9A,0,POMU,63,NA,2017,perenjori
3A,0,HYGL,7,5,2017,perenjori
9A,0,CRAS,10,NA,2017,perenjori
2B,1,CRAS,1,NA,2017,perenjori
9A,0,CRAS,4,NA,2017,perenjori
3A,0,CRAS,2,NA,2017,perenjori
3A,0,CRAS,2,NA,2017,perenjori
3B,1,CRAS,5,NA,2017,perenjori
7B,1,CRAS,6,NA,2017,perenjori
7A,0,POMU,43,NA,2017,perenjori
5B,1,CHPS,17,NA,2017,perenjori
8A,0,CRAS,5,NA,2017,perenjori
9A,0,CRAS,3,NA,2017,perenjori
7B,1,CRAS,2,NA,2017,perenjori
3A,0,CHPS,18,NA,2017,perenjori
3B,1,CRAS,6,NA,2017,perenjori
3B,1,CRAS,4,NA,2017,perenjori
3A,0,CRAS,8,NA,2017,perenjori
3A,0,CRAS,8,NA,2017,perenjori
7A,0,POMU,13,NA,2017,perenjori
7B,1,CRAS,5,NA,2017,perenjori
