Product code,Station Number,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,8107,1918,1.60,108.20,53.10,75.40,34.80,107.00,44.30,27.20,88.90,16.50,22.90,0.50,580.40
IDCJAC0001,8107,1919,0.00,1.60,0.00,16.30,16.80,89.40,72.90,100.70,7.40,10.20,22.90,29.80,368.00
IDCJAC0001,8107,1920,1.80,0.00,24.90,6.40,45.90,63.00,40.40,78.70,28.20,2.80,33.30,0.00,325.40
IDCJAC0001,8107,1921,1.80,24.00,28.00,0.00,189.50,38.50,32.30,31.80,35.10,21.60,0.00,6.90,409.50
IDCJAC0001,8107,1922,0.00,16.60,1.30,16.60,21.40,30.70,53.60,15.70,7.70,0.80,0.00,0.30,164.70
IDCJAC0001,8107,1923,21.30,13.20,3.60,32.50,19.60,166.80,44.00,17.00,30.90,3.80,0.00,1.30,354.00
IDCJAC0001,8107,1924,0.00,0.00,27.30,0.80,26.40,80.30,70.30,45.80,14.20,34.70,7.70,1.00,308.50
IDCJAC0001,8107,1925,67.60,27.70,13.50,1.80,41.60,106.10,39.10,16.50,43.20,6.80,3.30,40.20,407.40
IDCJAC0001,8107,1926,7.90,12.50,14.30,42.50,25.10,43.10,73.40,22.60,27.40,34.00,13.40,6.60,322.80
IDCJAC0001,8107,1927,5.10,0.00,160.10,21.60,28.70,55.00,58.50,24.80,35.10,4.50,0.00,2.30,395.70
IDCJAC0001,8107,1928,29.40,0.00,22.10,22.90,38.40,24.90,77.30,38.80,14.00,7.40,0.00,16.80,292.00
IDCJAC0001,8107,1929,0.00,51.90,3.50,0.00,89.90,72.50,18.50,15.00,5.90,9.60,20.40,0.00,287.20
IDCJAC0001,8107,1930,0.00,0.00,8.40,18.10,15.10,116.90,53.00,33.80,13.00,18.00,0.00,15.20,291.50
IDCJAC0001,8107,1931,0.00,2.00,10.10,17.30,84.40,31.30,51.20,29.40,26.10,15.00,38.80,27.50,333.10
IDCJAC0001,8107,1932,18.20,30.00,41.90,30.20,65.40,29.70,55.60,97.40,14.20,21.00,0.00,6.90,410.50
IDCJAC0001,8107,1933,1.50,7.40,26.60,2.30,64.60,126.60,38.60,75.20,10.60,17.10,22.40,10.10,403.00
IDCJAC0001,8107,1934,11.20,1.80,85.40,91.60,7.60,51.30,50.30,54.20,15.20,0.00,4.30,0.00,372.90
IDCJAC0001,8107,1935,23.90,24.70,48.10,48.40,15.80,14.80,55.80,57.40,11.90,2.50,0.00,2.00,305.30
IDCJAC0001,8107,1936,11.20,0.00,30.50,8.90,24.20,44.60,25.00,45.20,20.30,3.80,11.10,3.10,227.90
IDCJAC0001,8107,1937,2.80,31.30,3.10,32.50,39.90,64.00,9.30,46.90,16.30,1.80,12.70,1.30,261.90
IDCJAC0001,8107,1938,0.50,1.30,35.80,37.80,10.90,15.80,88.60,27.40,13.00,4.10,12.20,0.00,247.40
IDCJAC0001,8107,1939,44.50,65.10,4.60,0.80,64.90,127.00,87.40,48.00,1.00,33.60,12.50,0.00,489.40
IDCJAC0001,8107,1940,2.00,0.00,0.00,1.30,31.80,64.70,64.10,11.10,8.90,38.00,0.80,24.90,247.60
IDCJAC0001,8107,1941,0.00,21.60,3.60,81.80,52.00,51.60,38.00,56.70,19.70,12.20,47.00,6.80,391.00
IDCJAC0001,8107,1942,13.20,0.00,12.70,41.20,69.10,65.50,40.40,31.50,26.10,6.10,0.00,15.20,321.00
IDCJAC0001,8107,1943,20.30,41.50,74.00,9.90,14.70,60.30,47.90,35.30,17.00,16.30,0.00,4.30,341.50
IDCJAC0001,8107,1944,0.00,0.00,10.70,7.90,36.60,20.50,94.10,44.20,2.30,0.00,0.00,1.30,217.60
IDCJAC0001,8107,1945,0.00,31.50,9.40,2.30,41.10,180.80,19.80,58.20,15.50,2.50,29.50,2.00,392.60
IDCJAC0001,8107,1946,0.00,6.40,3.80,23.10,31.80,77.70,129.60,40.80,4.90,6.80,37.30,0.50,362.70
IDCJAC0001,8107,1947,10.20,15.70,64.50,13.20,73.40,36.30,73.70,11.90,22.40,53.80,0.00,1.30,376.40
IDCJAC0001,8107,1948,1.30,26.90,40.60,25.10,0.00,26.70,46.20,49.50,15.50,3.00,37.80,0.00,272.60
IDCJAC0001,8107,1949,0.00,29.50,12.70,10.20,0.00,36.60,111.50,88.10,41.40,12.70,15.70,0.00,358.40
IDCJAC0001,8107,1950,7.60,0.00,0.00,0.00,82.00,29.00,48.00,61.70,11.40,16.00,2.80,3.00,261.50
IDCJAC0001,8107,1951,40.60,27.40,0.00,48.80,9.90,112.80,87.40,22.90,18.50,5.30,0.00,9.40,383.00
IDCJAC0001,8107,1952,10.10,33.90,1.80,6.10,37.80,17.60,61.20,20.00,9.60,6.10,1.80,2.00,208.00
IDCJAC0001,8107,1953,8.90,2.80,91.60,17.30,75.80,61.80,46.50,9.10,4.00,23.10,2.60,6.60,350.10
IDCJAC0001,8107,1954,4.60,0.00,0.00,8.70,53.10,20.60,51.60,49.20,18.80,0.00,1.80,31.70,240.10
IDCJAC0001,8107,1955,37.80,48.20,3.00,30.00,56.90,19.60,35.10,99.50,18.00,19.30,0.00,0.00,367.40
IDCJAC0001,8107,1956,0.00,5.30,12.70,6.90,69.80,83.10,56.00,11.90,1.30,10.80,6.10,2.00,265.90
IDCJAC0001,8107,1957,49.30,0.00,4.60,4.30,18.30,110.80,15.70,50.50,5.60,5.10,0.00,5.80,270.00
IDCJAC0001,8107,1958,47.80,4.30,6.40,1.50,82.20,47.80,146.40,113.10,43.10,6.90,11.20,18.30,529.00
IDCJAC0001,8107,1959,0.00,0.00,18.60,4.10,11.20,116.80,21.20,68.10,2.00,19.80,6.10,1.50,269.40
IDCJAC0001,8107,1960,3.80,15.20,79.50,5.10,73.50,29.80,87.60,6.80,25.20,8.90,3.00,0.00,338.40
IDCJAC0001,8107,1961,29.20,0.00,2.10,124.20,30.70,100.90,38.30,33.60,4.80,3.80,0.00,2.80,370.40
IDCJAC0001,8107,1962,7.10,3.80,4.80,11.40,151.80,56.80,36.00,16.50,15.70,22.10,6.60,19.60,352.20
IDCJAC0001,8107,1963,34.70,9.40,23.70,43.70,90.20,79.40,88.20,75.70,15.80,2.50,7.90,4.80,476.00
