unique_id,seed,focal,code,site,treatment
BO_CL_10_2_GORO,6,Goodenia rosea,GORO,BO,CL
BO_CL_10_3_GORO,3,Goodenia rosea,GORO,BO,CL
BO_CL_10_4_GORO,3,Goodenia rosea,GORO,BO,CL
BO_CL_10_5_GORO,4,Goodenia rosea,GORO,BO,CL
BO_CL_10_6_GORO,2,Goodenia rosea,GORO,BO,CL
BO_CL_10_1_HYGL,11,Hyalosperma glutinosum,HYGL,BO,CL
BO_CL_10_2_HYGL,6,Hyalosperma glutinosum,HYGL,BO,CL
BO_CL_10_1_TRCY,6,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_2_TRCY,6,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_3_TRCY,12,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_4_TRCY,6,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_5_TRCY,42,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_6_TRCY,12,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_7_TRCY,12,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_8_TRCY,14,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_9_TRCY,8,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_10_TRCY,12,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_11_TRCY,12,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_12_TRCY,10,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_13_TRCY,28,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_14_TRCY,26,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_15_TRCY,28,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_16_TRCY,40,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_17_TRCY,4,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_18_TRCY,22,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_19_TRCY,48,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_20_TRCY,26,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_21_TRCY,14,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_23_TRCY,16,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_25_TRCY,22,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_27_TRCY,18,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_28_TRCY,6,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_29_TRCY,4,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_31_TRCY,6,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_1_PEAI,6,Pentameris airoides,PEAI,BO,CL
BO_CL_10_3_PEAI,34,Pentameris airoides,PEAI,BO,CL
BO_CL_10_4_PEAI,18,Pentameris airoides,PEAI,BO,CL
BO_CL_10_5_PEAI,46,Pentameris airoides,PEAI,BO,CL
BO_CL_10_7_PEAI,32,Pentameris airoides,PEAI,BO,CL
BO_CL_10_8_PEAI,80,Pentameris airoides,PEAI,BO,CL
BO_CL_10_10_PEAI,48,Pentameris airoides,PEAI,BO,CL
BO_CL_10_13_PEAI,76,Pentameris airoides,PEAI,BO,CL
BO_CL_10_16_PEAI,44,Pentameris airoides,PEAI,BO,CL
BO_CL_10_17_PEAI,104,Pentameris airoides,PEAI,BO,CL
BO_CL_10_23_PEAI,26,Pentameris airoides,PEAI,BO,CL
BO_CL_10_24_PEAI,24,Pentameris airoides,PEAI,BO,CL
BO_CL_10_25_PEAI,60,Pentameris airoides,PEAI,BO,CL
BO_CL_10_26_PEAI,24,Pentameris airoides,PEAI,BO,CL
BO_CL_10_28_PEAI,36,Pentameris airoides,PEAI,BO,CL
BO_CL_10_e1_GORO,0,Goodenia rosea,GORO,BO,CL
BO_CL_10_e7_TRCY,4,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_e5_TRCY,14,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_e3_TRCY,4,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_e4_TRCY,8,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_e1_TRCY,10,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_e6_TRCY,6,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_10_e1_PEAI,28,Pentameris airoides,PEAI,BO,CL
BO_CL_10_1_WAAC,0,Waitzia acuminata,WAAC,BO,CL
BO_CL_10_2_WAAC,0,Waitzia acuminata,WAAC,BO,CL
BO_CL_11_1_TRCY,20,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_11_2_TRCY,2,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_11_3_TRCY,8,Trachymene cyanopetala,TRCY,BO,CL
BO_CL_11_1_WAAC,0,Waitzia acuminata,WAAC,BO,CL
BO_CL_11_3_HYGL,0,Hyalosperma glutinosum,HYGL,BO,CL
BO_CL_11_1_GORO,44,Goodenia rosea,GORO,BO,CL
BO_CL_11_2_GORO,3,Goodenia rosea,GORO,BO,CL
BO_CL_11_3_GORO,3,Goodenia rosea,GORO,BO,CL
BO_CL_11_11_CHPS,33,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_12_CHPS,43,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_14_CHPS,11,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_15_CHPS,32,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_16_CHPS,25,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_17_CHPS,1,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_24_CHPS,67,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_26_CHPS,41,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_33_CHPS,38,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_36_CHPS,47,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_39_CHPS,45,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_42_CHPS,61,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_44_CHPS,67,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_64_CHPS,22,Chthonocephalus pseudevax,CHPS,BO,CL
BO_CL_11_66_CHPS,2,Chthonocephalus pseudevax,CHPS,BO,CL
