family,genus,species,name,code,synonym
Asteraceae,Actinobole,uliginosum,Actinobole uliginosum,ACUL,
Poaceae,Aira,cupaniana,Aira cupaniana,AICU,
Primulaceae,Anagallis,arvensis,Anagallis arvensis,ANAR,
Asteraceae,Angianthus,tomentosus,Angianthus tomentosus,ANTO,
Asteraceae,Arctotheca,calendula,Arctotheca calendula,ARCA,
Poaceae,Aristida,contorta,Aristida contorta,ARCO,
Asparagaceae,Arthropodium,curvipes,Arthropodium curvipes,ARCU,
Asparagaceae,Arthropodium,dyeri,Arthropodium dyeri,ARDY,
Chenopodiaceae,Atriplex,sp.,Atriplex sp.,,
Poaceae,Austrostipa,elegantissima,Austrostipa elegantissima,AUEL,
Poaceae,Avena,barbata,Avena barbata,AVBA,
Asteraceae,Bellida,graminea,Bellida graminea,BEGR,
Asteraceae,Blennospora,drummondii,Blennospora drummondii,BLDR,
Boryaceae,Borya,sphaerocephala,Borya sphaerocephala,BOSP,
Asteraceae,Brachyscome,cilaris,Brachyscome cilaris,BRCI,
Asteraceae,Brachyscome,iberidifolia,Brachyscome iberidifolia,BRIB,
Asteraceae,Brachyscome,perpusilla,Brachyscome perpusilla,BRPE,
Brassicaceae,Brassica,tournefortii,Brassica tournefortii,BRTE,
Poaceae,Briza,maxima,Briza maxima,BRMA,
Poaceae,Bromus,diandrus,Bromus diandrus,BRDI,
Poaceae,Bromus,rubens,Bromus rubens,BRRU,
Goodeniaceae,Brunonia,australis,Brunonia australis,BRAU,
Asphodelaceae,Bulbine,semibarbata,Bulbine semibarbata,BUSE,
Colchicaceae,Burchardia,congesta,Burchardia congesta,BUCO,
Hemerocallidaceae,Caesia,micrantha,Caesia micrantha,CAMI,
Orchidaceae,Caladenia,flava,Caladenia flava,CAFL,
Orchidaceae,Caladenia,hiemalis,Caladenia hiemalis,CAHIE,
Orchidaceae,Caladenia,hirta,Caladenia hirta,CAHIR,
Orchidaceae,Caladenia,roei,Caladenia roei,CARO,
Portulacaceae,Calandrinia,corrigioloides,Calandrinia corrigioloides,CACO,
Portulacaceae,Calandrinia,eremaea,Calandrinia eremaea,CAER,
Portulacaceae,Calandrinia,granulifera,Calandrinia granulifera,CAGR,
Asteraceae,Calocephalus,multiflorus,Calocephalus multiflorus,CAMU,
Asteraceae,Calotis,hispidula,Calotis hispidula,CAHI,
Asteraceae,Calotis,multicaulis,Calotis multicaulis,CAMU,
Brassicaceae,Carrichtera,annua,Carrichtera annua,CAAN,
Centrolepidaceae,Centrolepis,aristata,Centrolepis aristata,CEAR,
Centrolepidaceae,Centrolepis,drummondiana,Centrolepis drummondiana,CENDR,
Centrolepidaceae,Centrolepis,sp.,Centrolepis sp.,,
Asteraceae,Cephalipterum,drummondii,Cephalipterum drummondii,CEDR,
Asteraceae,Ceratogyne,obionoides,Ceratogyne obionoides,CEOB,
Asparagaceae,Chamaescilla,versicolor,Chamaescilla versicolor,CHVE,
Pteridaceae,Cheilanthes,sp.,Cheilanthes sp,FERN,
Asteraceae,Chthonocephalus,pseudevax,Chthonocephalus pseudevax,CHPS,
Asteraceae,Cotula,bipinnata,Cotula bipinnata,COBI,
Crassulaceae,Crassula,closiana,Crassula closiana,CRCL,
Crassulaceae,Crassula,colorata,Crassula colorata,CRCO,
Convolvulaceae,Cuscuta,sp.,Cuscuta sp.,,
Orchidaceae,Cyanicula,sp.,Cyanicula sp.,,
Goodeniaceae,Dampiera,lavandulacea,Dampiera lavandulacea,DALA,
Apiaceae,Daucus,glochidiatus,Daucus glochidiatus,DAGL,
Hemerocallidaceae,Dianella,revoluta,Dianella revoluta,DIRE,
Asparagaceae,Dichopogon,capillipes,Dichopogon capillipes,DICA,
Orchidaceae,Diuris,sp.,Diuris sp.,,
Droseraceae,Drosera,erythrorhiza,Drosera erythrorhiza,DRER,
Droseraceae,Drosera,glanduligera,Drosera glanduligera,DRGL,
Droseraceae,Drosera,macrantha,Drosera macrantha,DRMA,
Droseraceae,Drosera,major,Drosera major,DRMAJ,
Boraginaceae,Echium,plantagineum,Echium plantagineum,ECPL,
Poaceae,Ehrharta,longiflora,Ehrharta longiflora,EHLO,
Poaceae,Elymus,scabra,Elymus scabra,ELSC,
Chenopodiaceae,Enchylaena,tomentosa,Enchylaena tomentosa,ENTO,
Geraniaceae,Erodium,aureum,Erodium aureum,ERAU,
Geraniaceae,Erodium,botrys,Erodium botrys,ERBO,
Geraniaceae,Erodium,cicutarium,Erodium cicutarium,ERCI,
Geraniaceae,Erodium,cyngnorum,Erodium cyngnorum,ERCY,
Asteraceae,Erymophyllum,ramosum,Erymophyllum ramosum,ERRA,
Euphorbiaceae,Euphorbia,drummondii,Euphorbia drummondii,EUDR,
Asteraceae,Gilberta,tenuifolia,Gilberta tenuifolia,GITE,
Asteraceae,Gilruthia,osbornii,Gilruthia osbornii,GIOB,
Asteraceae,Gnephosis,tenuissima,Gnephosis tenuissima,GNTE,
Haloragaceae,Gonocarpus,nodulosus,Gonocarpus nodulosus,GONO,
Goodeniaceae,Goodenia,berardiana,Goodenia berardiana,GOBE,
Goodeniaceae,Goodenia,krauseana,Goodenia krauseana,GOKR,
Goodeniaceae,Goodenia,occidentalis,Goodenia occidentalis,GOOC,
Goodeniaceae,Goodenia,pusilliflora,Goodenia pusilliflora,GOPU,
Proteaceae,Grevillea,paniculata,Grevillea paniculata,GRPA,
Haloragaceae,Haloragis,odontocarpa,Haloragis odontocarpa,HAOD,
Dilleniaceae,Hibbertia,glomerosa,Hibbertia glomerosa,HIGL,
Poaceae,Hordeum,leporinum,Hordeum leporinum,HOLE,
Asteraceae,Hyalosperma,demissum,Hyalosperma demissum,HYDE,
Asteraceae,Hyalosperma,glutinosum,Hyalosperma glutinosum,HYGL,
Araliaceae,Hydrocotyle,pilifera,Hydrocotyle pilifera,HYPI,
Asteraceae,Hypochaeris,glabra,Hypochaeris glabra,HYPO,
Asteraceae,Isoetopsis,graminifolia,Isoetopsis graminifolia,ISGR,
Fabaceae,Isotropis,juncea,Isotropis juncea,ISJU,
Juncaceae,Juncus,bufonius,Juncus bufonius,JUBU,
Poaceae,Lamarkia,aurea,Lamarkia aurea,LAAU,
Asteraceae,Lawrencella,davenportii,Lawrencella davenportii,LADA,
Asteraceae,Lawrencella,rosea,Lawrencella rosea,LARO,
Asteraceae,Leontodon,rhagadioloides,Leontodon rhagadioloides,LERH,
Brassicaceae,Lepidium,bonariense,Lepidium bonariense,LEBO,
Brassicaceae,Lepidium,sp.,Lepidium sp.,,
Brassicaceae,Lepidium,sp.,Lepidium sp.,,
Stylidiaceae,Levenhookia,dubia,Levenhookia dubia,LEDU,
Stylidiaceae,Levenhookia,leptantha,Levenhookia leptantha,LELE,
Campanulaceae,Lobelia,gibbosa,Lobelia gibbosa,LOGI,
Poaceae,Lolium,perenne,Lolium perenne,LOPE,
Asparagaceae,Lomandra,effusa,Lomandra effusa,LOEF,
Primulaceae,Lysimachia,arvensis,Lysimachia arvensis,LYAR,
Chenopodiaceae,Maireana,carnosa,Maireana carnosa,MACA,
Fabaceae,Medicago,minima,Medicago minima,MEMI,
Fabaceae,Medicago,polymorpha,Medicago polymorpha,MEPO,
Brassicaceae,Menkea,sphaerocarpa,Menkea sphaerocarpa,MESP,
