Project.ID,Plant.ID,species,sample.number,sla.mm2.mg,mean.seed.mass.mg,seed.notes,height.mm,width.longest.mm,width.90.from.longest.mm,leaf.area.mm2,leaf.wet.mass.mg,leaf.dry.mass.mg,aboverground.biomass.mg,number.buds,number.flowers,number.seeds,C13.plant.permill,delta.C13.discrimination.permill,C13.notes,root.dry.mass.mg,root.wet.mass.mg,root.volume.less.than.0.5mm.diameter.mm3,root.length.less.than.0.5mm.diameter.mm3,total.root.volume.cm3,total.root.length.cm,number.of.root.tips,root.length.per.volume.cm.m3,root.notes,stem.wet.mass.mg,stem.dry.mass.mg,stem.diameter.1.mm,stem.diameter.2.mm,stem.length
COEX.1,Arctotheca calendula.1.C,Arctotheca calendula,1,12.78521754,NA,,58,35,NA,444.9,NA,34.798,251.4,NA,NA,NA,-27.79510849,20.36104597,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.1.E,Arctotheca calendula,1,NA,NA,,75,105,NA,NA,NA,NA,463.9,NA,NA,NA,-29.23890048,21.87860689,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.10.C,Arctotheca calendula,1,9.09555442,NA,,90,150,35,249.2,NA,27.398,491.4,NA,NA,NA,-29.34663603,21.99202807,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.10.E,Arctotheca calendula,1,13.34682386,NA,,120,170,120,455.1,NA,34.098,1601.7,NA,NA,NA,-29.91283263,22.58851922,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.11.C,Arctotheca calendula,1,NA,NA,,130,190,130,NA,NA,NA,NA,NA,NA,NA,-30.48629861,23.19337889,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.11.E,Arctotheca calendula,1,21.09480306,NA,,204,310,300,1126.8,NA,53.416,2392.4,NA,NA,NA,-30.91349976,23.6444319,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.11.E,Arctotheca calendula,2,NA,NA,,NA,NA,NA,NA,NA,34.71,2392.4,NA,NA,NA,-30.91349976,23.6444319,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.12.C,Arctotheca calendula,1,10.93948969,NA,,60,150,130,927.8,NA,84.812,2764.8,NA,NA,NA,-27.9930731,20.56885866,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.12.E,Arctotheca calendula,1,11.0810692,NA,,67,200,160,1512.3,NA,136.476,4179.1,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Arctotheca calendula.13.C,Arctotheca calendula,1,10.8485128,NA,,50,30,20,94.1,NA,8.674,95.5,NA,NA,NA,-28.20741785,20.79396182,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
