plot.ID,block ,plot.letter,treatment,focal,neigh,density
10A,10,A,Open,H.glutinosum,C.colorata,1
10A,10,A,Open,H.glutinosum,H.glutinosum,2
10A,10,A,Open,P.airoides,P.airoides,1
10A,10,A,Open,V.rosea,C.colorata,2
10A,10,A,Open,V.rosea,P.muelleriana,1
10B,10,B,Shade,H.glutinosum,H.glutinosum,1
10B,10,B,Shade,M.minima,H.glutinosum,2
10B,10,B,Shade,P.canescens,C.hispidula,1
10B,10,B,Shade,T.cyanopetala,NA,0
10C,10,C,Shade,A.calendula,A.calendula,1
10C,10,C,Shade,A.calendula,P.muelleriana,2
10C,10,C,Shade,H.glutinosum,H.glutinosum,1
10C,10,C,Shade,H.glutinosum,P.muelleriana,2
10C,10,C,Shade,P.airoides,P.airoides,1
10C,10,C,Shade,P.airoides,P.debilis,1
10C,10,C,Shade,P.airoides,P.muelleriana,1
10C,10,C,Shade,P.canescens,P.muelleriana,3
10C,10,C,Shade,V.rosea,P.muelleriana,2
10D,10,D,Shade,A.calendula,A.calendula,1
10D,10,D,Shade,A.calendula,D.glochidiatus,1
10D,10,D,Shade,H.glabra,D.glochidiatus,2
10D,10,D,Shade,H.glabra,M.polymorpha,1
10D,10,D,Shade,H.glabra,P.muelleriana,1
10D,10,D,Shade,P.canescens,P.muelleriana,1
10E,10,E,Open,A.calendula,NA,NA
10E,10,E,Open,P.canescens,P.canescens,1
10E,10,E,Open,P.canescens,S.lineare,1
10E,10,E,Open,T.cyanopetala,T.cyanopetala,1
10F,10,F,Shade,H.glabra,P.lessonni,1
10F,10,F,Shade,P.canescens,NA,0
10F,10,F,Shade,T.cyanopetala,G.berardiana,1
10F,10,F,Shade,T.cyanopetala,T.cyanopetala,1
10F,10,F,Shade,V.rosea,P.lessonni,1
10G,10,G,Open,H.glabra,V.rosea,1
10G,10,G,Open,M.minima,B.semibarbata,1
10G,10,G,Open,M.minima,M.minima,3
10G,10,G,Open,M.minima,P.gaudichaudii,1
10G,10,G,Open,T.cyanopetala,T.cyanopetala,1
10G,10,G,Open,V.rosea,NA,NA
10H,10,H,Shade,A.calendula,H.glutinosum,3
10H,10,H,Shade,A.calendula,P.airoides,1
10H,10,H,Shade,H.glutinosum,C.colorata,2
10H,10,H,Shade,H.glutinosum,H.glutinosum,1
10H,10,H,Shade,P.airoides,H.glutinosum,1
10I,10,I,Open,H.glabra,B.semibarbata,1
10I,10,I,Open,H.glabra,G.berardiana,1
10I,10,I,Open,M.minima,T.cyanopetala,2
10I,10,I,Open,P.airoides,B.semibarbata,1
10I,10,I,Open,P.airoides,C.eremea,1
10I,10,I,Open,P.airoides,H.glabra,1
10J,10,J,Open,H.glutinosum,H.glutinosum,2
10J,10,J,Open,H.glutinosum,P.lessonni,1
10J,10,J,Open,H.glutinosum,P.muelleriana,5
10K,10,K,Open,A.calendula,M.minima,1
10K,10,K,Open,A.calendula,M.polymorpha,1
10K,10,K,Open,M.minima,M.minima,3
10L,10,L,Open,P.canescens,NA,0
12A,12,A,Shade,H.glutinosum,H.glutinosum,6
12A,12,A,Shade,H.glutinosum,P.lessonni,1
12A,12,A,Shade,P.airoides,Cheilanthes.sp,3
12A,12,A,Shade,P.airoides,H.glutinosum,4
12A,12,A,Shade,P.canescens,Cheilanthes.sp,2
12A,12,A,Shade,P.canescens,H.glutinosum,3
12A,12,A,Shade,T.cyanopetala,P.airoides,1
12A,12,A,Shade,T.cyanopetala,P.lessonni,1
12B,12,B,Open,H.glabra,T.cyanopetala,2
12B,12,B,Open,P.canescens,P.debilis,1
12B,12,B,Open,V.rosea,V.rosea,2
12C,12,C,Shade,A.calendula,H.glutinosum,1
12C,12,C,Shade,A.calendula,P.lessonni,1
12C,12,C,Shade,P.airoides,C.pseudevax,5
12C,12,C,Shade,P.canescens,P.airoides,1
12C,12,C,Shade,V.rosea,P.muelleriana,1
12D,12,D,Open,A.calendula,Erodium.cygnorum,1
12D,12,D,Open,A.calendula,P.debilis,1
12D,12,D,Open,H.glutinosum,Cheilanthes.sp,1
12D,12,D,Open,H.glutinosum,P.airoides,1
12D,12,D,Open,H.glutinosum,P.debilis,2
12D,12,D,Open,H.glutinosum,P.lessonni,1
12D,12,D,Open,H.glutinosum,P.muelleriana,1
12D,12,D,Open,H.glutinosum,V.rosea,1
12D,12,D,Open,P.airoides,P.airoides,1
12D,12,D,Open,P.airoides,P.debilis,1
12D,12,D,Open,V.rosea,NA,0
12E,12,E,Shade,H.glutinosum,P.debilis,2
12E,12,E,Shade,M.minima,P.debilis,2
12E,12,E,Shade,P.canescens,M.polymorpha,1
12F,12,F,Open,H.glutinosum,Erodium.cygnorum,1
12F,12,F,Open,H.glutinosum,H.glutinosum,1
12F,12,F,Open,H.glutinosum,P.airoides,1
12F,12,F,Open,H.glutinosum,P.lessonni,1
12F,12,F,Open,M.minima,NA,NA
12F,12,F,Open,P.airoides,NA,NA
12F,12,F,Open,P.canescens,H.glutinosum,2
12F,12,F,Open,P.canescens,S.cassiniana,1
12G,12,G,Open,H.glutinosum,H.glutinosum,3
12G,12,G,Open,P.canescens,V.rosea,1
12G,12,G,Open,T.cyanopetala,T.cyanopetala,1
12G,12,G,Open,V.rosea,P.debilis,4
12H,12,H,Open,H.glabra,C.eremea,6
12H,12,H,Open,H.glabra,P.airoides,1
12H,12,H,Open,H.glabra,W.acuminata,1
12H,12,H,Open,H.glutinosum,NA,NA
12H,12,H,Open,V.rosea,V.rosea,2
12H,12,H,Open,V.rosea,W.acuminata,1
12I,12,I,Shade,A.calendula,P.gaudichaudii,1
12I,12,I,Shade,A.calendula,T.cyanopetala,1
12I,12,I,Shade,M.minima,C.hispidula,1
12I,12,I,Shade,M.minima,P.gaudichaudii,1
12I,12,I,Shade,P.airoides,N.rotundifolia,1
12I,12,I,Shade,P.airoides,P.lessonni,1
12J,12,J,Open,H.glabra,P.debilis,1
12J,12,J,Open,M.minima,P.debilis,2
12K,12,K,Shade,A.calendula,T.cyanopetala,1
12K,12,K,Shade,M.minima,P.debilis,2
12K,12,K,Shade,M.minima,P.gaudichaudii,2
12K,12,K,Shade,T.cyanopetala,P.gaudichaudii,2
12K,12,K,Shade,T.cyanopetala,S.cassiniana,1
12K,12,K,Shade,T.cyanopetala,T.cyanopetala,1
12K,12,K,Shade,T.cyanopetala,W.acuminata,1
12K,12,K,Shade,V.rosea,NA,0
12L,12,L,Open,A.calendula,M.polymorpha,1
12L,12,L,Open,M.minima,A.calendula,1
12L,12,L,Open,M.minima,M.polymorpha,1
12L,12,L,Open,V.rosea,M.polymorpha,1
12M,12,M,Shade,A.calendula,NA,0
12M,12,M,Shade,P.airoides,C.eremea,1
12M,12,M,Shade,P.airoides,C.pseudevax,1
12M,12,M,Shade,P.airoides,P.debilis,1
12N,12,N,Open,T.cyanopetala,C.colorata,2
12N,12,N,Open,T.cyanopetala,P.airoides,1
12N,12,N,Open,T.cyanopetala,P.lessonni,2
12O,12,O,Shade,H.glabra,C.colorata,2
12O,12,O,Shade,H.glabra,Erodium.cygnorum,1
12O,12,O,Shade,H.glabra,P.canescens,1
12O,12,O,Shade,H.glabra,W.acuminata,1
15A,15,A,Open,A.calendula,A.calendula,1
15A,15,A,Open,A.calendula,P.canescens,1
15A,15,A,Open,H.glabra,G.berardiana,2
15A,15,A,Open,H.glabra,T.cyanopetala,1
15A,15,A,Open,P.airoides,D.macrantha,1
15A,15,A,Open,T.cyanopetala,Cheilanthes.sp,6
15B,15,B,Open,A.calendula,NA,NA
15B,15,B,Open,M.minima,NA,NA
15B,15,B,Open,P.canescens,M.minima,1
15B,15,B,Open,T.cyanopetala,M.minima,1
15B,15,B,Open,T.cyanopetala,T.cyanopetala,2
15C,15,C,Shade,H.glutinosum,H.glutinosum,3
15C,15,C,Shade,H.glutinosum,T.cyanopetala,1
15C,15,C,Shade,M.minima,P.debilis,1
15C,15,C,Shade,M.minima,T.cyanopetala,1
15C,15,C,Shade,P.canescens,H.glutinosum,2
15C,15,C,Shade,P.canescens,W.acuminata,3
15C,15,C,Shade,T.cyanopetala,P.canescens,1
15C,15,C,Shade,T.cyanopetala,W.acuminata,1
15D,15,D,Shade,H.glutinosum,Cheilanthes.sp,15
15D,15,D,Shade,H.glutinosum,Erodium.cygnorum,1
15D,15,D,Shade,H.glutinosum,H.glutinosum,3
15D,15,D,Shade,P.canescens,Cheilanthes.sp,2
15D,15,D,Shade,P.canescens,H.glutinosum,2
15D,15,D,Shade,T.cyanopetala,H.glutinosum,3
15D,15,D,Shade,T.cyanopetala,W.acuminata,1
15D,15,D,Shade,V.rosea,H.glutinosum,1
15E,15,E,Open,A.calendula,P.gaudichaudii,1
15E,15,E,Open,H.glutinosum,H.glutinosum,1
15E,15,E,Open,M.minima,A.calendula,1
