block,plot.letter,plot.ID,treatment,focal,seed,competition
10,A,10A,Open,H.glutinosum,9,Highcomp
10,A,10A,Open,H.glutinosum,0,Solo
10,A,10A,Open,P.airoides,167,Highcomp
10,A,10A,Open,P.airoides,204,Solo
10,A,10A,Open,V.rosea,379,Highcomp
10,A,10A,Open,V.rosea,44,Solo
10,B,10B,Shade,H.glutinosum,0,Highcomp
10,B,10B,Shade,H.glutinosum,0,Solo
10,B,10B,Shade,M.minima,0,Highcomp
10,B,10B,Shade,M.minima,0,Solo
10,B,10B,Shade,P.canescens,1620,Highcomp
10,B,10B,Shade,P.canescens,613,Solo
10,B,10B,Shade,T.cyanopetala,62,Highcomp
10,B,10B,Shade,T.cyanopetala,0,Solo
10,C,10C,Shade,A.calendula,398,Highcomp
10,C,10C,Shade,A.calendula,190,Solo
10,C,10C,Shade,H.glutinosum,5,Highcomp
10,C,10C,Shade,H.glutinosum,0,Solo
10,C,10C,Shade,P.airoides,437,Highcomp
10,C,10C,Shade,P.airoides,0,Solo
10,C,10C,Shade,P.canescens,123,Highcomp
10,C,10C,Shade,P.canescens,245,Solo
10,D,10D,Shade,A.calendula,306,Highcomp
10,D,10D,Shade,A.calendula,124,Solo
10,D,10D,Shade,H.glabra,NA,Highcomp
10,D,10D,Shade,H.glabra,326,Solo
10,D,10D,Shade,P.canescens,1305,Highcomp
10,D,10D,Shade,P.canescens,851,Solo
10,E,10E,Open,A.calendula,583,Highcomp
10,E,10E,Open,A.calendula,405,Solo
10,E,10E,Open,P.canescens,3137,Highcomp
10,E,10E,Open,P.canescens,2519,Solo
10,E,10E,Open,T.cyanopetala,8,Highcomp
10,E,10E,Open,T.cyanopetala,150,Solo
10,F,10F,Shade,H.glabra,504,Highcomp
10,F,10F,Shade,H.glabra,105,Solo
10,F,10F,Shade,P.canescens,444,Highcomp
10,F,10F,Shade,P.canescens,848,Solo
10,F,10F,Shade,T.cyanopetala,6,Highcomp
10,F,10F,Shade,T.cyanopetala,42,Solo
10,F,10F,Shade,V.rosea,0,Highcomp
10,F,10F,Shade,V.rosea,155,Solo
10,G,10G,Open,H.glabra,266,Highcomp
10,G,10G,Open,H.glabra,177,Solo
10,G,10G,Open,M.minima,2,Highcomp
10,G,10G,Open,M.minima,9,Solo
10,G,10G,Open,T.cyanopetala,12,Highcomp
10,G,10G,Open,V.rosea,90,Highcomp
10,G,10G,Open,V.rosea,80,Solo
10,H,10H,Shade,A.calendula,307,Highcomp
10,H,10H,Shade,A.calendula,508,Solo
10,H,10H,Shade,H.glutinosum,3,Highcomp
10,H,10H,Shade,H.glutinosum,5,Solo
10,H,10H,Shade,P.airoides,249,Highcomp
10,H,10H,Shade,P.airoides,388,Solo
10,I,10I,Open,H.glabra,527,Highcomp
10,I,10I,Open,H.glabra,338,Solo
10,I,10I,Open,M.minima,11,Highcomp
10,I,10I,Open,M.minima,5,Solo
10,I,10I,Open,P.airoides,189,Highcomp
10,I,10I,Open,P.airoides,533,Solo
10,J,10J,Open,H.glutinosum,9,Highcomp
10,J,10J,Open,H.glutinosum,0,Solo
10,K,10K,Open,A.calendula,578,Highcomp
10,K,10K,Open,A.calendula,716,Solo
10,K,10K,Open,M.minima,6,Highcomp
10,K,10K,Open,M.minima,9,Solo
10,L,10L,Open,P.canescens,4122,Highcomp
10,L,10L,Open,P.canescens,2305,Solo
