final.code,species,root.biomass,srl
ARCA,Arctotheca calendula,14.567,3.326292305
ARCA,Arctotheca calendula,11.845,2.871245251
ARCA,Arctotheca calendula,63.028,1.358727867
GOBE,Goodenia berardiana,14.569,1.65616034
GOBE,Goodenia berardiana,2.917,5.66640384
GOBE,Goodenia berardiana,1.085,4.008110599
GORO,Goodenia rosea,1.492,4.970844504
GORO,Goodenia rosea,3.961,4.236707902
GORO,Goodenia rosea,2.8,2.396607143
HYGL,Hyalosperma glutinosum,1.735,5.545936599
HYGL,Hyalosperma glutinosum,1.218,4.35500821
HYGL,Hyalosperma glutinosum,2.819,5.743951756
LARO,Lawrencella rosea,2.879,7.54841959
LARO,Lawrencella rosea,8.446,6.21726261
LARO,Lawrencella rosea,6.741,4.425797359
MIMY,Millotia myosotidifolia,2.615,4.253919694
MIMY,Millotia myosotidifolia,2.019,4.973402675
MIMY,Millotia myosotidifolia,0.394,3.694162437
PEAI,Pentameris airoides,4.235,10.64689492
PEAI,Pentameris airoides,1.667,27.62867427
PEAI,Pentameris airoides,1.644,17.68448905
PLDE,Plantago debilis,2.677,5.728726186
PLDE,Plantago debilis,1.061,7.129029218
PLDE,Plantago debilis,2.262,4.119628647
POAR,Podolepis aristata,11.755,0.536282433
POAR,Podolepis aristata,43.091,0.284110371
POAR,Podolepis aristata,48.446,0.323876068
POLE,Podolepis lessonii,0.284,5.303521127
POLE,Podolepis lessonii,2.675,1.657794393
POLE,Podolepis lessonii,0.545,5.034862385
TRCY,Trachymene cyanopetala,0.714,8.34047619
TRCY,Trachymene cyanopetala,1.044,14.5408046
TRCY,Trachymene cyanopetala,1.849,11.66792861
WAAC,Waitzia acuminata,15.658,0.416592157
WAAC,Waitzia acuminata,4.946,0.587990295
WAAC,Waitzia acuminata,21.772,0.273217895
