year,month,prec
1921,1,2.366666667
1921,2,16.83333333
1921,3,21
1921,4,0
1921,5,128.7666667
1921,6,27.56666667
1921,7,18.23333333
1921,8,40.26666667
1921,9,27.36666667
1921,10,18.13333333
1921,11,0.333333333
1921,12,5.6
1922,1,0
1922,2,9.075
1922,3,2.475
1922,4,28.825
1922,5,26
1922,6,35.8
1922,7,64.475
1922,8,21.525
1922,9,11.35
1922,10,1.675
1922,11,0
1922,12,0.45
1923,1,21.4
1923,2,5.9
1923,3,2.55
1923,4,15.525
1923,5,29.75
1923,6,194.5
1923,7,21.575
1923,8,8.825
1923,9,13.225
1923,10,2.225
1923,11,0
1923,12,0.325
1924,1,0
1924,2,0
1924,3,11.925
1924,4,0.325
1924,5,27.825
1924,6,73.425
1924,7,75.775
1924,8,49.625
1924,9,15.225
1924,10,30.175
1924,11,7.825
1924,12,14.55
1925,1,63.2
1925,2,31.275
1925,3,17.05
1925,4,4.2
1925,5,49.7
1925,6,91.275
1925,7,32.725
1925,8,11.925
1925,9,10.8
1925,10,3.65
1925,11,1.075
1925,12,16.275
1926,1,3.95
1926,2,5.8
1926,3,5.4
1926,4,35.25
1926,5,17.8
1926,6,37.375
1926,7,63.1
1926,8,22
1926,9,20.075
1926,10,20.125
1926,11,32.85
1926,12,3.05
1927,1,1.525
1927,2,0
1927,3,109.275
1927,4,10.75
1927,5,32.325
1927,6,50.975
1927,7,76.475
1927,8,33.725
1927,9,34.475
1927,10,3.75
1927,11,0
1927,12,4.9
1928,1,16.725
1928,2,0
1928,3,12.2
1928,4,14.55
1928,5,42.625
1928,6,32.125
1928,7,89
1928,8,39.5
1928,9,17.575
1928,10,8.95
1928,11,0.65
1928,12,17.45
1929,1,9.9
1929,2,43.8
1929,3,13.425
1929,4,0.525
1929,5,90.225
1929,6,79.325
1929,7,25.25
1929,8,15.2
1929,9,4.85
1929,10,8.525
1929,11,16.975
1929,12,0
1930,1,0
1930,2,0
1930,3,12.6
1930,4,28.94
1930,5,15.16
1930,6,132.12
1930,7,60.88
1930,8,36.54
1930,9,17.98
1930,10,24.98
1930,11,0.56
1930,12,10.1
1931,1,0
1931,2,12.04
1931,3,4.84
1931,4,12.46
1931,5,78.7
1931,6,32.78
1931,7,56.54
1931,8,41.62
1931,9,34.24
1931,10,16.5
1931,11,26.68
1931,12,23.1
1932,1,18.4
1932,2,7.12
1932,3,28.46
1932,4,19.78
1932,5,46.3
1932,6,25.66
1932,7,50.54
1932,8,129.5
1932,9,18.98
1932,10,37.04
1932,11,0
1932,12,5.1
1933,1,0.9
1933,2,3.22
1933,3,45.04
1933,4,3.76
1933,5,65.66
1933,6,133.58
1933,7,42.62
1933,8,72.82
1933,9,14.5
1933,10,21.16
1933,11,8.44
1933,12,9.4
1934,1,18.1
1934,2,5.016666667
1934,3,83.45
1934,4,95.66666667
1934,5,8.633333333
1934,6,49.46666667
1934,7,48.38333333
1934,8,56.26666667
1934,9,13.93333333
1934,10,2.183333333
1934,11,8
1934,12,2.75
1935,1,21.83333333
1935,2,32.73333333
1935,3,29.16666667
1935,4,38.11666667
1935,5,16.35
1935,6,25.53333333
1935,7,53.93333333
1935,8,62.43333333
1935,9,16.53333333
1935,10,2.2
1935,11,0.25
1935,12,0.883333333
1936,1,10.96666667
1936,2,2.45
1936,3,18.5
1936,4,7.616666667
1936,5,29.06666667
1936,6,52
1936,7,27.26666667
1936,8,44.56666667
1936,9,12.38333333
1936,10,4.55
1936,11,11.1
1936,12,9.683333333
1937,1,3.783333333
1937,2,8.3
1937,3,3.15
1937,4,28.05
1937,5,61.65
1937,6,58.28333333
1937,7,9.8
1937,8,49.48333333
1937,9,14.36666667
1937,10,1.566666667
1937,11,7.783333333
1937,12,0.216666667
1938,1,2.266666667
1938,2,1.616666667
1938,3,29.58333333
1938,4,38.11666667
1938,5,8.083333333
1938,6,20.28333333
1938,7,78.25
1938,8,19.75
1938,9,10.4
1938,10,3.5
1938,11,14.76666667
1938,12,1.4
1939,1,39.68333333
1939,2,51.91666667
1939,3,0.933333333
1939,4,1.283333333
1939,5,44.75
1939,6,87.01666667
1939,7,66.13333333
1939,8,38.98333333
1939,9,1.8
1939,10,26.75
1939,11,13.83333333
1939,12,0
1940,1,3.383333333
1940,2,0.083333333
1940,3,0.266666667
1940,4,1.35
1940,5,28.5
1940,6,61.66666667
1940,7,61.5
1940,8,10.91666667
1940,9,10.1
1940,10,28.6
1940,11,2.1
1940,12,25.88333333
1941,1,0
1941,2,13.76666667
1941,3,1.333333333
1941,4,76.76666667
1941,5,41.4
1941,6,64.38333333
1941,7,38.68333333
1941,8,40
1941,9,19.63333333
1941,10,10.05
1941,11,22.05
1941,12,7.516666667
1942,1,5.816666667
1942,2,2.25
1942,3,34.28333333
1942,4,41.21666667
1942,5,56.06666667
1942,6,55.36666667
1942,7,23
1942,8,35.08333333
1942,9,20.86666667
1942,10,4.866666667
1942,11,0.383333333
