code,genus,species,functional.group,family,flowercolor,final.code,name,height,synonym,code.analysis
ACUL,Actinobole,uliginosum,NA,Asteraceae,NA,ACUL,Actinobole uliginosum,NA,NA,
AICU,Aira,cupaniana,grass,Poaceae,green,AICU,Aira cupaniana,NA,NA,
ANAR,Anagallis,arvensis,NA,Primulaceae,NA,ANAR,Anagallis arvensis,NA,NA,
ANTO,Angianthus,tomentosus,NA,Asteraceae,NA,ANTO,Angianthus tomentosus,NA,NA,
ARCA,Arctotheca,calendula,forb,Asteraceae,yellow,ARCA,Arctotheca calendula,308.64,NA,
ARCO,Aristida,contorta,grass,Poaceae,green,ARCO,Aristida contorta,NA,NA,
ARCU,Arthropodium,curvipes,forb,Asparagaceae,white,ARCU,Arthropodium curvipes,NA,NA,
ARDY,Arthropodium,dyeri,NA,Asparagaceae,NA,ARDY,Arthropodium dyeri,NA,NA,
ARTHRI,Arthropodium,NA,NA,Asparagaceae,NA,ARTHRI,Arthripodium sp,NA,NA,
ASTRO,Austrostipa,NA,grass,Poaceae,green,ASTRO,Austrostipa sp,NA,NA,
AUEL,Austrostipa,elegantissima,grass,Poaceae,green,ASTRO,Austrostipa elegantissima,NA,NA,
AUSTRO,Austrostipa,NA,grass,Poaceae,green,ASTRO,Austrostipa sp,NA,NA,
Austrostipa,Austrostipa,NA,grass,Poaceae,green,ASTRO,Austrostipa sp,NA,NA,
AVBA,Avena,barbata,grass,Poaceae,green,AVBA,Avena barbata,NA,NA,
BEGR,Bellida,graminea,NA,Asteraceae,NA,BEGR,Bellida graminea,NA,NA,
BLDR,Blennospora,drummondii,forb,Asteraceae,white,BLDR,Blennospora drummondii,NA,NA,
BOCO,Borya,constricta,shrub,Boryaceae,white,BOCO,Borya constricta,NA,NA,
BOSP,Borya,sphaerocephala,forb,Boryaceae,white,BOSP,Borya sphaerocephala,NA,NA,
BRAU,Brunonia,australis,forb,Goodeniaceae,blue,BRAU,Brunonia australis,NA,NA,
BRCE,Brachiyscome,cilaris,forb,Asteraceae,pink,BRCI,Brachyscome cilaris,NA,NA,
BRCI,Brachyscome,cilaris,NA,Asteraceae,pink,BRCI,Brachyscome cilaris,NA,NA,
BRDI,Bromus,diandrus,NA,Poaceae,NA,BRDI,Bromus diandrus,NA,NA,
