,final.code,species,aboverground.biomass.mg,height.mm,mean.seed.mass.mg,sla.mm2.mg,width.longest.mm,width.90.from.longest.mm,C13.plant.permill,total.root.length.cm,number.of.root.tips,root.volume.less.than.0.5mm.diameter.mm3,total.root.volume.cm3,germ,surv,plant_height,root_diameter,root_distribution_coefficient,seed_dry_mass,seed_germination,type,Growth.form,Life.Form,flower.size,flower.colour,plant.height,flowers.per.plant,family,pollination.synd,native,height,seed.dry.mass,flower.size.numb,notes,root.biomass,srl,Abundance,Fecundity
1,ARCA,Arctotheca calendula,328.8,90,1.116985,24.02800323,82.5,60,-29.33792222,95.7906,139,0.0386,0.088,0.196047619,0.338357143,0.185865516,1.573333333,0.838,1.116985,NA,forb,Annual herb,Decumbent,large,yellow,medium,many,Asteraceae,self.animal,no,0.182,1.12,4.5,,14.567,2.871245251,0.314646932,62.1284153
2,GOBE,Goodenia berardiana,0.1444,99.5,2.386042857,25.9491371,35,25,-30.35481069,22.7362,75.5,0.00785,0.0185,0.135375074,0.519954546,0.257283175,NA,NA,2.17846075,0.55,forb,Annual herb,Erect,small,yellow,medium,many,Goodeniaceae,self.animal,yes,0.246,2.13,1.35,,2.917,4.008110599,0.116118312,26.96478873
3,GORO,Goodenia rosea,153.4,48,2.288267778,25.98108694,45,17,-28.43511609,15.80555,78.5,0.00595,0.0165,0.111710526,0.475572682,0.15306162,NA,NA,2.8188136,0.775,forb,Annual herb,Erect,large,white,short,many,Goodeniaceae,self.animal,yes,0.26,2.73,2.25,,2.8,4.236707902,1.025017618,16.47724868
4,HYGL,Hyalosperma glutinosum,102.7,101,NA,15.57971014,56,20,NA,NA,NA,NA,NA,0.2433029,0.509913042,0.12,NA,NA,0.3,NA,forb,Annual herb,Erect,small,yellow,medium,few,Asteraceae,self.animal,yes,0.128,0.3,0.5,tocheck,1.735,5.545936599,0.36773411,7.951236264
5,LARO,Lawrencella rosea,0.0636,140,1.278262835,19.69498927,50,31,-30.06570408,26.2955,59,0.0094,0.028,NA,NA,0.224363857,NA,NA,1.598821,0.866666667,forb,Annual herb,Erec,large,blue,medium,few,Asteraceae,self.animal,yes,0.3,1.6,1.75,,6.741,6.21726261,0.122830266,9.61852861
6,MIMY,Millotia myosotidifolia,0.0427,48,0.11897,35.36452672,20,16.5,-32.58720118,44.1686,76,0.011,0.015,NA,NA,0.109036167,NA,NA,0.112285,NA,forb,Annual herb,Erect,small,yellow,medium,many,Asteraceae,self.animal,yes,0.0883,0.112,0.3,tocheck,2.019,4.253919694,0.108914348,14.91032917
7,PEAI,Pentameris airoides,14.25,67,0.050803484,31.23935611,18,4,-30.36857504,90.15695,966.5,0.01935,0.0315,0.203903091,0.301786759,0.13424435,NA,NA,0.0504015,NA,non.forb,Annual grass,Caespitose,reduced,green,high,non,Poaceae,wind,no,0.129,0.0504,0.035,reference,1.667,17.68448905,0.636980791,165.6708968
8,PLDE,Plantago debilis,52.95,29,0.533831111,24.14359892,16,5.5,-28.4266834,20.4439,39,0.0027,0.006,0.279791735,0.321650302,0.109676839,NA,NA,0.304763875,0.775,forb,Perennial herb,Caespitose,small,white,medium,many,Plantaginaceae,wind,yes,0.105,0.326,0.02,reference,2.262,5.728726186,0.24228168,32.79916318
9,POAR,Podolepis aristata,347.1,140,0.122951111,22.89371913,50,20,-30.32828812,17.0533,54,0.0075,0.042,0.296154397,0.401859477,0.5,NA,NA,NA,NA,forb,Annual herb,Erect,large,yellow,high,many,Asteraceae,self.animal,yes,0.5,NA,3.5,,43.091,0.323876068,0.251568108,205.535316
10,POLE,Podolepis lessonii,0.6107,75,0.030797751,26.34450021,20,5,-32.390447,18.6903,56,0.0082,0.013,0.236650296,0.295571558,0.194330361,NA,NA,0.088799333,0.702,forb,Annual herb,Erect,small,yellow,medium,few,Asteraceae,self.animal,yes,0.25,0.0888,1,tocheck,0.545,5.034862385,0.228181159,37.06718925
11,TRCY,Trachymene cyanopetala,63,85,2.4263,29.2490949,60,38.5,-28.23996945,26.3737,54,0.0119,0.034,0.048425926,0.302269006,0.139348381,NA,NA,1.70583,NA,forb,Annual herb,Erect,small,blue,short,many,Araliaceae,self.animal,yes,0.124,1.94,0.03,reference,1.044,11.66792861,0.46118786,10.4675
12,WAAC,Waitzia acuminata,1.1233,180,0.081320335,21.65262485,50,16,-30.80505734,24.78555,40,0.0067,0.044,0.196094687,0.451346842,0.32479359,NA,NA,0.24113,0.64,forb,Annual herb,Erect,large,yellow,high,few,Asteraceae,self.animal,yes,0.342,0.234,0.85,,15.658,0.416592157,0.255745373,72.11836735
