day,month,year,plot,subplot,species,individuals,obs
1,6,2022,1,A1,BEMA,34,CHNO no medido focal ni abundancia
1,6,2022,1,A1,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,1,A1,HOMA,7,CHNO no medido focal ni abundancia
1,6,2022,1,A2,HOMA,6,CHNO no medido focal ni abundancia
1,6,2022,1,A2,BEMA,35,CHNO no medido focal ni abundancia
1,6,2022,1,A2,PAIN,7,CHNO no medido focal ni abundancia
1,6,2022,1,A3,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,1,A3,BEMA,19,CHNO no medido focal ni abundancia
1,6,2022,1,A3,HOMA,7,CHNO no medido focal ni abundancia
1,6,2022,1,A4,BEMA,34,CHNO no medido focal ni abundancia
1,6,2022,1,A4,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,1,A4,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,1,A5,BEMA,27,CHNO no medido focal ni abundancia
1,6,2022,1,A5,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,1,A6,BEMA,22,CHNO no medido focal ni abundancia
1,6,2022,1,A6,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,1,B6,BEMA,20,CHNO no medido focal ni abundancia
1,6,2022,1,B5,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,1,B5,BEMA,22,CHNO no medido focal ni abundancia
1,6,2022,1,B5,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,1,B4,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,1,B4,BEMA,17,CHNO no medido focal ni abundancia
1,6,2022,1,B4,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,1,B3,HOMA,5,CHNO no medido focal ni abundancia
1,6,2022,1,B3,CHFU,4,CHNO no medido focal ni abundancia
1,6,2022,1,B3,CHFU,4,CHNO no medido focal ni abundancia
1,6,2022,1,B3,CHFU,4,CHNO no medido focal ni abundancia
1,6,2022,1,B3,BEMA,25,CHNO no medido focal ni abundancia
1,6,2022,1,B2,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,1,B2,HOMA,8,CHNO no medido focal ni abundancia
1,6,2022,1,B2,BEMA,16,CHNO no medido focal ni abundancia
1,6,2022,1,B1,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,1,B1,BEMA,20,CHNO no medido focal ni abundancia
1,6,2022,1,B1,HOMA,5,CHNO no medido focal ni abundancia
1,6,2022,1,C1,PAIN,5,CHNO no medido focal ni abundancia
1,6,2022,1,C1,BEMA,18,CHNO no medido focal ni abundancia
1,6,2022,1,C2,HOMA,4,CHNO no medido focal ni abundancia
1,6,2022,1,C2,BEMA,20,CHNO no medido focal ni abundancia
1,6,2022,1,C2,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,1,C2,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,1,C3,CHFU,4,CHNO no medido focal ni abundancia
1,6,2022,1,C3,CHFU,4,CHNO no medido focal ni abundancia
1,6,2022,1,C3,BEMA,22,CHNO no medido focal ni abundancia
1,6,2022,1,C3,HOMA,2,CHNO no medido focal ni abundancia
1,6,2022,1,C3,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,1,C4,CHFU,3,CHNO no medido focal ni abundancia
1,6,2022,1,C4,BEMA,8,CHNO no medido focal ni abundancia
1,6,2022,1,C5,BEMA,19,CHNO no medido focal ni abundancia
1,6,2022,1,C5,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,1,C5,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,1,C6,BEMA,32,CHNO no medido focal ni abundancia
1,6,2022,1,C6,PAIN,10,CHNO no medido focal ni abundancia
1,6,2022,1,C6,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,1,D6,BEMA,38,CHNO no medido focal ni abundancia
1,6,2022,1,D6,PAIN,13,CHNO no medido focal ni abundancia
1,6,2022,1,D6,HOMA,9,CHNO no medido focal ni abundancia
1,6,2022,1,D5,PAIN,6,CHNO no medido focal ni abundancia
1,6,2022,1,D5,BEMA,19,CHNO no medido focal ni abundancia
1,6,2022,1,D4,HOMA,2,CHNO no medido focal ni abundancia
1,6,2022,1,D4,PAIN,1,CHNO no medido focal ni abundancia
1,6,2022,1,D4,BEMA,15,CHNO no medido focal ni abundancia
1,6,2022,1,D4,CHFU,2,CHNO no medido focal ni abundancia
1,6,2022,1,D3,PLCO,1,CHNO no medido focal ni abundancia
1,6,2022,1,D3,CHFU,7,CHNO no medido focal ni abundancia
1,6,2022,1,D3,PAIN,13,CHNO no medido focal ni abundancia
1,6,2022,1,D3,BEMA,32,CHNO no medido focal ni abundancia
1,6,2022,1,D2,CHFU,7,CHNO no medido focal ni abundancia
1,6,2022,1,D2,BEMA,38,CHNO no medido focal ni abundancia
1,6,2022,1,D2,PAIN,8,CHNO no medido focal ni abundancia
1,6,2022,1,D2,HOMA,5,CHNO no medido focal ni abundancia
1,6,2022,1,D1,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,1,D1,BEMA,33,CHNO no medido focal ni abundancia
1,6,2022,1,D1,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,1,D1,HOMA,2,CHNO no medido focal ni abundancia
1,6,2022,1,E1,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,1,E1,BEMA,45,CHNO no medido focal ni abundancia
1,6,2022,1,E2,HOMA,3,CHNO no medido focal ni abundancia
1,6,2022,1,E2,CHFU,3,CHNO no medido focal ni abundancia
1,6,2022,1,E2,PAIN,10,CHNO no medido focal ni abundancia
1,6,2022,1,E2,BEMA,31,CHNO no medido focal ni abundancia
1,6,2022,1,E3,HOMA,2,CHNO no medido focal ni abundancia
1,6,2022,1,E3,BEMA,22,CHNO no medido focal ni abundancia
1,6,2022,1,E3,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,1,E4,BEMA,40,CHNO no medido focal ni abundancia
1,6,2022,1,E4,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,1,E4,CHFU,6,CHNO no medido focal ni abundancia
1,6,2022,1,E5,BEMA,22,CHNO no medido focal ni abundancia
1,6,2022,1,E5,PAIN,12,CHNO no medido focal ni abundancia
1,6,2022,1,E5,CHFU,3,CHNO no medido focal ni abundancia
1,6,2022,1,E6,HOMA,10,CHNO no medido focal ni abundancia
1,6,2022,1,E6,BEMA,28,CHNO no medido focal ni abundancia
1,6,2022,1,E6,PAIN,4,CHNO no medido focal ni abundancia
1,6,2022,1,F6,SOAS,2,CHNO no medido focal ni abundancia
1,6,2022,1,F6,LEMA,7,CHNO no medido focal ni abundancia
1,6,2022,1,F6,SOAS,NA,falta abundancia
1,6,2022,1,F6,LEMA,NA,falta abundancia
1,6,2022,1,F6,BEMA,26,CHNO no medido focal ni abundancia
1,6,2022,1,F6,HOMA,6,CHNO no medido focal ni abundancia
1,6,2022,1,F6,PAIN,5,CHNO no medido focal ni abundancia
1,6,2022,1,F5,LEMA,12,CHNO no medido focal ni abundancia
1,6,2022,1,F5,SOAS,1,CHNO no medido focal ni abundancia
1,6,2022,1,F5,BEMA,25,CHNO no medido focal ni abundancia
1,6,2022,1,F5,PAIN,7,CHNO no medido focal ni abundancia
1,6,2022,1,F5,CHFU,2,CHNO no medido focal ni abundancia
1,6,2022,1,F4,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,1,F4,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,1,F4,BEMA,28,CHNO no medido focal ni abundancia
1,6,2022,1,F4,PAIN,2,CHNO no medido focal ni abundancia
1,6,2022,1,F3,BEMA,18,CHNO no medido focal ni abundancia
1,6,2022,1,F3,PAIN,6,CHNO no medido focal ni abundancia
1,6,2022,1,F3,CHFU,1,CHNO no medido focal ni abundancia
1,6,2022,1,F3,HOMA,1,CHNO no medido focal ni abundancia
1,6,2022,1,F2,PAIN,3,CHNO no medido focal ni abundancia
1,6,2022,1,F2,HOMA,2,CHNO no medido focal ni abundancia
1,6,2022,1,F2,BEMA,19,CHNO no medido focal ni abundancia
1,6,2022,1,F1,BEMA,23,CHNO no medido focal ni abundancia
