year,focal.code,germination,day,month,plot
2015,BEMA,38,NA,NA,NA
2015,CETE,53,NA,NA,NA
2015,CHFU,8,NA,NA,NA
2015,CHMI,76,NA,NA,NA
2015,FRPU,NA,NA,NA,NA
2015,HOMA,94,NA,NA,NA
2015,LEMA,89,NA,NA,NA
2015,LYTR,62,NA,NA,NA
2015,MEEL,59,NA,NA,NA
2015,MESU,77,NA,NA,NA
2015,PAIN,33,NA,NA,NA
2015,PLCO,84,NA,NA,NA
2015,POMA,85,NA,NA,NA
2015,POMO,91,NA,NA,NA
2015,PUPA,84,NA,NA,NA
2015,RAPE,NA,NA,NA,NA
2015,SASO,52,NA,NA,NA
2015,SCLA,69,NA,NA,NA
2015,SOAS,6,NA,NA,NA
2015,SPRU,44,NA,NA,NA
2015,SUSP,61,NA,NA,NA
2020,chfu,26,13,2,1
2020,chfu,24,13,2,2
2020,chfu,36,13,2,3
2020,chfu,2,13,2,4
2020,chfu,2,13,2,5
2020,chfu,3,13,2,6
2020,chfu,6,13,2,7
2020,chfu,3,13,2,8
2020,chfu,4,13,2,9
2020,chmi,0,13,2,1
2020,chmi,0,13,2,2
2020,chmi,2,13,2,3
2020,chmi,0,13,2,4
2020,chmi,0,13,2,5
2020,chmi,1,13,2,6
2020,chmi,0,13,2,7
2020,chmi,0,13,2,8
2020,chmi,0,13,2,9
2020,homa,3,13,2,1
2020,homa,12,13,2,2
2020,homa,7,13,2,3
2020,homa,8,13,2,4
2020,homa,18,13,2,5
2020,homa,12,13,2,6
2020,homa,0,13,2,7
2020,homa,9,13,2,8
2020,homa,8,13,2,9
2020,mesu,3,13,2,1
2020,mesu,2,13,2,2
2020,mesu,4,13,2,3
2020,mesu,6,13,2,4
2020,mesu,12,13,2,5
2020,mesu,7,13,2,6
2020,mesu,8,13,2,7
2020,mesu,4,13,2,8
2020,mesu,8,13,2,9
2020,meel,7,13,2,1
2020,meel,6,13,2,2
2020,meel,12,13,2,3
2020,meel,5,13,2,4
2020,meel,8,13,2,5
2020,meel,2,13,2,6
2020,meel,4,13,2,7
2020,meel,5,13,2,8
2020,meel,3,13,2,9
2020,lema,0,13,2,1
2020,lema,6,13,2,2
2020,lema,6,13,2,3
2020,lema,3,13,2,4
2020,lema,9,13,2,5
2020,lema,4,13,2,6
2020,lema,4,13,2,7
2020,lema,0,13,2,8
2020,lema,9,13,2,9
2020,scla,4,13,2,1
2020,scla,4,13,2,2
2020,scla,2,13,2,3
2020,scla,1,13,2,4
2020,scla,6,13,2,5
2020,scla,4,13,2,6
2020,scla,2,13,2,7
2020,scla,10,13,2,8
2020,scla,0,13,2,9
2020,soas,4,13,2,1
2020,soas,0,13,2,2
2020,soas,4,13,2,3
2020,soas,3,13,2,4
2020,soas,6,13,2,5
2020,soas,0,13,2,6
2020,soas,14,13,2,7
2020,soas,12,13,2,8
2020,soas,5,13,2,9
2020,plco,16,13,2,1
2020,plco,8,13,2,2
2020,plco,6,13,2,3
2020,plco,3,13,2,4
2020,plco,3,13,2,5
2020,plco,38,13,2,6
2020,plco,17,13,2,7
2020,plco,8,13,2,8
2020,plco,3,13,2,9
2020,bema,2,13,2,1
2020,bema,4,13,2,2
2020,bema,1,13,2,3
2020,bema,3,13,2,4
2020,bema,0,13,2,5
2020,bema,2,13,2,6
2020,bema,0,13,2,7
2020,bema,0,13,2,8
2020,bema,0,13,2,9
2020,saso,0,13,2,1
2020,saso,6,13,2,2
2020,saso,0,13,2,3
2020,saso,0,13,2,4
2020,saso,0,13,2,5
2020,saso,0,13,2,6
2020,saso,10,13,2,7
2020,saso,0,13,2,8
2020,saso,0,13,2,9
2020,spru,0,13,2,1
2020,spru,0,13,2,2
2020,spru,0,13,2,3
2020,spru,0,13,2,4
2020,spru,0,13,2,5
2020,spru,0,13,2,6
2020,spru,6,13,2,7
2020,spru,4,13,2,8
2020,spru,0,13,2,9
2020,pain,2,13,2,1
2020,pain,0,13,2,2
2020,pain,6,13,2,3
2020,pain,0,13,2,4
2020,pain,3,13,2,5
2020,pain,3,13,2,6
2020,pain,0,13,2,7
2020,pain,0,13,2,8
2020,pain,0,13,2,9
2020,pomo,0,13,2,1
2020,pomo,0,13,2,2
2020,pomo,0,13,2,3
2020,pomo,0,13,2,4
2020,pomo,4,13,2,5
2020,pomo,0,13,2,6
2020,pomo,3,13,2,7
2020,pomo,1,13,2,8
2020,pomo,0,13,2,9
2020,pupa,8,13,2,1
2020,pupa,3,13,2,2
2020,pupa,0,13,2,3
2020,pupa,4,13,2,4
2020,pupa,6,13,2,5
2020,pupa,2,13,2,6
2020,pupa,5,13,2,7
2020,pupa,4,13,2,8
2020,pupa,7,13,2,9
2020,cete,23,13,2,1
2020,cete,6,13,2,2
2020,cete,0,13,2,3
2020,cete,0,13,2,4
2020,cete,0,13,2,5
2020,cete,0,13,2,6
2020,cete,0,13,2,7
2020,cete,0,13,2,8
2020,cete,0,13,2,9
2020,poma,4,13,2,1
2020,poma,0,13,2,2
2020,poma,2,13,2,3
2020,poma,0,13,2,4
2020,poma,1,13,2,5
2020,poma,1,13,2,6
2020,poma,0,13,2,7
2020,poma,6,13,2,8
2020,poma,0,13,2,9
2020,susp,0,13,2,1
2020,susp,0,13,2,2
2020,susp,0,13,2,3
2020,susp,0,13,2,4
2020,susp,0,13,2,5
2020,susp,0,13,2,6
2020,susp,4,13,2,7
2020,susp,1,13,2,8
2020,susp,2,13,2,9
2020,lytr,0,13,2,1
2020,lytr,0,13,2,2
2020,lytr,0,13,2,3
2020,lytr,0,13,2,4
2020,lytr,0,13,2,5
2020,lytr,0,13,2,6
2020,lytr,3,13,2,7
2020,lytr,0,13,2,8
2020,lytr,0,13,2,9
2021,chfu,14,18,1,1
2021,chfu,8,18,1,2
2021,chfu,12,18,1,3
2021,chfu,6,18,1,4
2021,chfu,3,18,1,5
2021,chfu,1,18,1,6
2021,chfu,2,18,1,7
2021,chfu,4,18,1,8
2021,chfu,0,18,1,9
2021,chmi,0,18,1,1
2021,chmi,0,18,1,2
2021,chmi,6,18,1,3
2021,chmi,1,18,1,4
2021,chmi,0,18,1,5
2021,chmi,0,18,1,6
2021,chmi,4,18,1,7
2021,chmi,0,18,1,8
2021,chmi,0,18,1,9
2021,homa,10,18,1,1
2021,homa,13,18,1,2
2021,homa,16,18,1,3
2021,homa,12,18,1,4
2021,homa,11,18,1,5
2021,homa,8,18,1,6
2021,homa,6,18,1,7
2021,homa,7,18,1,8
2021,homa,3,18,1,9
2021,mesu,0,18,1,1
2021,mesu,0,18,1,2
2021,mesu,3,18,1,3
2021,mesu,5,18,1,4
2021,mesu,8,18,1,5
2021,mesu,1,18,1,6
2021,mesu,0,18,1,7
2021,mesu,6,18,1,8
2021,mesu,2,18,1,9
2021,meel,3,18,1,1
2021,meel,1,18,1,2
2021,meel,4,18,1,3
2021,meel,1,18,1,4
2021,meel,3,18,1,5
2021,meel,0,18,1,6
2021,meel,4,18,1,7
2021,meel,4,18,1,8
2021,meel,2,18,1,9
2021,lema,4,18,1,1
2021,lema,5,18,1,2
2021,lema,3,18,1,3
2021,lema,6,18,1,4
2021,lema,10,18,1,5
2021,lema,5,18,1,6
2021,lema,8,18,1,7
2021,lema,5,18,1,8
2021,lema,1,18,1,9
2021,scla,2,18,1,1
2021,scla,1,18,1,2
2021,scla,7,18,1,3
2021,scla,0,18,1,4
2021,scla,3,18,1,5
2021,scla,3,18,1,6
2021,scla,6,18,1,7
2021,scla,6,18,1,8
2021,scla,12,18,1,9
2021,soas,1,18,1,1
2021,soas,3,18,1,2
2021,soas,5,18,1,3
2021,soas,0,18,1,4
2021,soas,8,18,1,5
2021,soas,3,18,1,6
2021,soas,10,18,1,7
2021,soas,4,18,1,8
2021,soas,4,18,1,9
2021,plco,6,18,1,1
2021,plco,10,18,1,2
2021,plco,4,18,1,3
2021,plco,5,18,1,4
2021,plco,12,18,1,5
2021,plco,26,18,1,6
2021,plco,9,18,1,7
2021,plco,10,18,1,8
2021,plco,4,18,1,9
2021,bema,0,18,1,1
2021,bema,0,18,1,2
2021,bema,6,18,1,3
2021,bema,2,18,1,4
2021,bema,4,18,1,5
2021,bema,0,18,1,6
2021,bema,0,18,1,7
2021,bema,4,18,1,8
2021,bema,0,18,1,9
2021,saso,2,18,1,1
2021,saso,2,18,1,2
2021,saso,1,18,1,3
2021,saso,0,18,1,4
2021,saso,2,18,1,5
2021,saso,0,18,1,6
2021,saso,1,18,1,7
2021,saso,8,18,1,8
2021,saso,0,18,1,9
2021,spru,0,18,1,1
2021,spru,1,18,1,2
2021,spru,0,18,1,3
2021,spru,0,18,1,4
2021,spru,0,18,1,5
2021,spru,0,18,1,6
2021,spru,15,18,1,7
2021,spru,0,18,1,8
2021,spru,0,18,1,9
2021,pain,6,18,1,1
2021,pain,2,18,1,2
2021,pain,4,18,1,3
2021,pain,5,18,1,4
2021,pain,6,18,1,5
2021,pain,3,18,1,6
2021,pain,1,18,1,7
2021,pain,0,18,1,8
2021,pain,0,18,1,9
2021,pomo,0,18,1,1
2021,pomo,0,18,1,2
2021,pomo,0,18,1,3
2021,pomo,0,18,1,4
2021,pomo,0,18,1,5
2021,pomo,0,18,1,6
2021,pomo,1,18,1,7
2021,pomo,5,18,1,8
2021,pomo,0,18,1,9
2021,pupa,0,18,1,1
2021,pupa,0,18,1,2
2021,pupa,0,18,1,3
2021,pupa,0,18,1,4
2021,pupa,0,18,1,5
2021,pupa,1,18,1,6
2021,pupa,3,18,1,7
2021,pupa,3,18,1,8
2021,pupa,0,18,1,9
2021,cete,4,18,1,1
2021,cete,4,18,1,2
2021,cete,6,18,1,3
2021,cete,0,18,1,4
2021,cete,0,18,1,5
2021,cete,0,18,1,6
2021,cete,1,18,1,7
2021,cete,1,18,1,8
2021,cete,0,18,1,9
2021,poma,0,18,1,1
2021,poma,0,18,1,2
2021,poma,0,18,1,3
2021,poma,0,18,1,4
2021,poma,0,18,1,5
2021,poma,3,18,1,6
2021,poma,6,18,1,7
2021,poma,4,18,1,8
2021,poma,1,18,1,9
2021,susp,0,18,1,1
2021,susp,0,18,1,2
2021,susp,0,18,1,3
2021,susp,0,18,1,4
2021,susp,0,18,1,5
2021,susp,0,18,1,6
2021,susp,3,18,1,7
2021,susp,0,18,1,8
2021,susp,7,18,1,9
2021,anar,0,18,1,1
2021,anar,0,18,1,2
2021,anar,0,18,1,3
2021,anar,0,18,1,4
2021,anar,1,18,1,5
2021,anar,0,18,1,6
2021,anar,0,18,1,7
2021,anar,3,18,1,8
2021,anar,12,18,1,9
2021,achi,0,18,1,1
2021,achi,0,18,1,2
2021,achi,0,18,1,3
2021,achi,0,18,1,4
2021,achi,0,18,1,5
2021,achi,0,18,1,6
2021,achi,0,18,1,7
2021,achi,0,18,1,8
2021,achi,10,18,1,9
2021,rape,2,18,1,1
2021,rape,0,18,1,2
2021,rape,0,18,1,3
2021,rape,0,18,1,4
2021,rape,0,18,1,5
2021,rape,0,18,1,6
2021,rape,3,18,1,7
2021,rape,0,18,1,8
2021,rape,0,18,1,9
