"","trait","density.quantile","rhat","num.div","rhat.dist","median.intercept.model.1","CI.intercept.model.1","median.emitter.trait.model.1","CI.emitter.trait.model.1","median.receiver.trait.model.1","CI.receiver.trait.model.1","median.intercept.model.2","CI.intercept.model.2","median.dist.trait.model.2","CI.dist.trait.model.2","interactions"
"1","SRL","low",1.00455872917096,0,1.00503865462986,-0.00218438162535373,"[-0.027;0.024]",-0.000252616473652822,"[-0.014;0.015]",-0.0118589429172341,"[-0.031;0.007]",-0.0034648588559764,"[-0.027;0.022]",-0.00746894359126477,"[-0.023;0.008]","Heterospecific"
"2","SRA","low",1.00301320247552,1,1.00326375569888,-0.00248895624030164,"[-0.027;0.021]",-0.00599880753052517,"[-0.02;0.008]",-0.0159003575113574,"[-0.035;0.002]",-0.00244787442150745,"[-0.027;0.023]",-0.00462629238316536,"[-0.022;0.012]","Heterospecific"
"3","Root diameter","low",1.00324911225233,0,1.00273012985676,-0.00203148869232269,"[-0.026;0.024]",-0.0180622412007905,"[-0.031;-0.005]",-0.0111642017474913,"[-0.03;0.009]",-0.00317978069639639,"[-0.028;0.024]",0.0131727778702336,"[-0.004;0.028]","Heterospecific"
"4","Root mass density","low",1.0043471405755,3,1.00265929846429,-0.00188685467260624,"[-0.027;0.022]",0.00150071756561443,"[-0.014;0.016]",0.0136871635354976,"[-0.005;0.031]",-0.00299861910432666,"[-0.029;0.022]",0.0062536784275462,"[-0.01;0.022]","Heterospecific"
"5","Floret width","low",1.00352024225343,0,1.00748236062153,0.00716016718966429,"[-0.017;0.03]",-0.012724541360541,"[-0.024;-0.001]",-0.0228404333043299,"[-0.042;-0.003]",0.00720198796845338,"[-0.018;0.035]",0.00337944540476864,"[-0.013;0.019]","Heterospecific"
"6","Seed mass","low",1.00297090617263,1,1.00550361293295,0.00650457246766512,"[-0.022;0.033]",-0.000676110316924272,"[-0.013;0.013]",0.00961778733712104,"[-0.011;0.029]",0.00713325374270616,"[-0.019;0.032]",0.00495037521045338,"[-0.01;0.019]","Heterospecific"
"7","C13 water use efficiency","low",1.00555015856267,1,1.00364736263276,-0.00185413079931844,"[-0.027;0.022]",0.016721703060147,"[0.003;0.03]",0.0199366279728977,"[0.002;0.037]",-0.00301383533805062,"[-0.028;0.024]",-0.00562837561183782,"[-0.023;0.013]","Heterospecific"
"8","Leaf C to N ratio","low",1.00796478761,1,1.00365168529925,-0.00253904298281645,"[-0.028;0.023]",9.34384106782149e-05,"[-0.015;0.016]",-1.61981152468349e-05,"[-0.02;0.02]",-0.0029070070857913,"[-0.028;0.023]",-0.000801894994328756,"[-0.016;0.015]","Heterospecific"
"9","SLA","low",1.00359127523858,0,1.0036410601924,0.00731535735976904,"[-0.019;0.034]",-0.0167154962988696,"[-0.029;-0.004]",-0.020879943216555,"[-0.04;-0.002]",0.00613759789913997,"[-0.021;0.033]",0.0092236534756831,"[-0.007;0.026]","Heterospecific"
"10","Stem height","low",1.00394033137656,4,1.00889918881264,0.0068445649871618,"[-0.019;0.033]",-0.00428447219884021,"[-0.016;0.008]",-0.0186987885658632,"[-0.038;0.002]",0.00637557926145559,"[-0.019;0.032]",-0.00446363924043952,"[-0.02;0.011]","Heterospecific"
