"","X.1","X","focal","country","n.obs","n.parameter","Rhat","Neff","mean.fec","sd.fec","mean.rmds","min.rmds","max.rmds","Sim.Bias","perc.K","p_loo","p_loo.check","elpd_loo","elpd_loo_se"
"1",1,1,"ARCA","aus",732,42,1.004,655.133,62.128,133.672,128.263,125.625,309.19,52.55,0.007,"21.3+-5.6","Good specification",-3647.419,47.023
"2",2,2,"GOBE","aus",141,50,1,5998.857,27.121,39.19,31.362,27.115,58.693,5.494,0.043,"12.5+-2.7","Good specification",-535.619,18.721
"3",3,3,"GORO","aus",945,50,1.001,6086.288,16.477,41.963,28.389,25.769,31.167,7.955,0.001,"14.3+-1.5","Good specification",-2916.894,41.529
"4",4,4,"HYGL","aus",1220,50,1.002,2910.689,7.889,16.716,14.875,14.604,18.138,0.014,0,"28.4+-4.4","Good specification",-3470.624,47.643
"5",5,5,"LARO","aus",367,50,1.003,1737.448,9.619,15.328,13.312,12.622,54.31,0.112,0,"12.4+-1.7","Good specification",-1103.102,24.156
"6",6,6,"MIMY","aus",881,46,1.001,2396.083,14.91,18.931,17.38,16.864,24.751,0.025,0,"13.1+-1.3","Good specification",-3110.792,39.743
"7",7,7,"PEAI","aus",1151,50,1.001,6934.732,164.838,268.783,255.139,252.467,264.327,358.65,0.004,"19.9+-4.2","Good specification",-6796.015,53.468
"8",8,8,"PLDE","aus",220,42,1.02,174.323,34.968,37.219,33.812,32.07,40.705,0.034,0.009,"13+-2.1","Good specification",-979.456,15.98
"9",9,9,"POAR","aus",949,50,1.002448206,2263.747087,166.2771338,399.3071691,380.0318181,372.9191676,490.6787777,374.5064114,0.005268704,"21.4+-4.3","Good specification",-5366.944657,57.77440295
"10",10,10,"POLE","aus",891,50,1,7244.738,30.681,162.792,257003.252,145.778,5063608892,73836299.79,0.001,"13.8+-2.4","Good specification",-2771.49,65.185
"11",11,11,"TRCY","aus",1199,50,1.001,6699.235,10.475,14.639,12.029,11.79,12.891,0.004,0,"27.3+-3.8","Good specification",-3754.75,43.842
"12",12,12,"WAAC","aus",487,50,1.003,2373.993,72.563,155.853,144.857,139.271,570.206,167.068,0.006,"15.6+-2.7","Good specification",-2168.374,50.483
"13",13,13,"CETE","spain",725,50,1.005,706.412,1202.526,1115.057,1106.2,1088.043,1249.186,96.781,0,"12.6+-1.3","Good specification",-5864.479,25.132
"14",14,14,"CHFU","spain",646,50,1,7402.575,1096.235,1296.195,1220.69,1190.721,6205.76,863.87,0.003,"13.1+-2.8","Good specification",-5060.422,34.846
"15",15,15,"HOMA","spain",1340,50,1.002,3509.875,79.165,132.615,108.615,106.258,132.752,87.195,0.001,"70.3+-36.5","Good specification",-6630.638,130.99
"16",16,16,"LEMA","spain",1478,50,1.001,6683.403,966.331,1123.317,1103.076,1089.311,1223.794,28.49,0,"17+-1.6","Good specification",-11576.329,45.723
"17",17,17,"ME.sp","spain",641,50,1.004,675.916,324.543,769.212,734.373,717.467,849.851,3773.847,0,"18.5+-2.7","Good specification",-4081.515,49.015
"18",18,18,"PAIN","spain",1214,50,1,6709.432,210.804,312.225,230.004,220.875,248.302,1212.599,0,"27.5+-3.3","Good specification",-6855.825,60.771
"19",19,19,"PLCO","spain",713,50,1.042,110.67,421.906,459.134,435.333,428.098,470.591,45.084,0.003,"16.5+-2","Good specification",-4954.229,30.761
"20",20,20,"PO.sp","spain",1186,50,1.001,4237.546,641.007,698.392,665.898,657.65,872.86,77.233,0.002,"19.7+-3.7","Good specification",-8769.11,41.565
"21",21,21,"SASO","spain",1199,50,1.001,4645.25,79.721,159.3,148.957,147.429,151.863,62.81,0,"30.6+-4.3","Good specification",-6075.709,63.039
"22",22,22,"SCLA","spain",551,50,1.001,3565.476,100.681,122.892,111.538,108.413,114.988,28.295,0,"16.1+-2.1","Good specification",-3008.917,28.937
"23",23,23,"SPRU","spain",244,50,1,7429.51,922.656,777.81,739.358,697.572,928.059,179.336,0.016,"12+-2.1","Good specification",-1903.45,14.098
"24",NA,NA,"GORO","aus",1871,50,1.00218575317216,1814.31495340642,25.6745056119719,41.9533021137164,32.9890517423348,32.2525177077343,33.952366754163,3.07651957363756,0.00106894708711919,"27.2+-5.1","Good specification",-7001.17330188415,62.9640563969533
