"","trait","country","Focal.trait.perc.low.vs.high","Focal.trait.sd","Neigh.trait.perc.low.vs.high","Neigh.trait.sd","Dist.trait.perc.low.vs.high","Dist.trait.sd"
"1","All","both",49.48,9.57,61.21,10.37,57.82,9.59
"2","C13.water.use.efficiency","Australia",50.76,NA,56.59,NA,64.99,NA
"3","C13.water.use.efficiency","Spain",57.97,NA,73.97,NA,56.96,NA
"4","Floret.width","Australia",59.74,NA,69.12,NA,58.81,NA
"5","Floret.width","Spain",41.76,NA,65.71,NA,55.15,NA
"6","Leaf.C.to.N.ratio","Spain",46.64,NA,55.05,NA,53.2,NA
"7","Root.diameter","Spain",54.74,NA,74.34,NA,59.55,NA
"8","Root.length","Australia",56.71,NA,53.31,NA,60.06,NA
"9","Root.mass.density","Australia",42.07,NA,50.24,NA,41.76,NA
"10","Root.mass.density","Spain",38.5,NA,56.32,NA,46.53,NA
"11","Root.tips","Australia",55.93,NA,66.09,NA,86.59,NA
"12","Seed.mass","Australia",56.57,NA,65.4,NA,58.01,NA
"13","Seed.mass","Spain",44.86,NA,53.14,NA,48.98,NA
"14","SLA","Australia",52.4,NA,76.62,NA,64.92,NA
"15","SLA","Spain",31.7,NA,80.36,NA,61.33,NA
"16","SRA","Spain",29.14,NA,51.62,NA,49.76,NA
"17","SRL","Australia",54.91,NA,65.2,NA,68.36,NA
"18","SRL","Spain",44.87,NA,53.44,NA,53.31,NA
"19","Stem.height","Australia",62.06,NA,52.32,NA,54.41,NA
"20","Stem.height","Spain",58.76,NA,44.1,NA,55.89,NA
