"","focal","year","complexity.animal","complexity.plant","abund.sp.mean","abund.sp.median","abund.sp.max","abund.sp.min","parameter"
"1","CETE","2019","group","class",1.69362745098039,1.25,5,0,"Plant - plant"
"2","CETE","2019","group","class",0.512254901960784,0.5,1.33333333333333,0,"Intraspecific"
"3","CETE","2019","group","class",0.825674019607843,0.260416666666667,5,0,"Plant - herbivore"
"4","CETE","2019","group","class",0,0,0,0,"Plant - floral visitor"
"5","CETE","2019","family","family",1.69362745098039,1.25,5,0,"Plant - plant"
"6","CETE","2019","family","family",0.286764705882353,0.166666666666667,1.16666666666667,0,"Intraspecific"
"7","CETE","2019","family","family",0.825674019607843,0.260416666666667,5,0,"Plant - herbivore"
"8","CETE","2019","family","family",0,0,0,0,"Plant - floral visitor"
"9","CETE","2019","species","code.plant",1.69362745098039,1.25,5,0,"Plant - plant"
"10","CETE","2019","species","code.plant",0,0,0,0,"Intraspecific"
"11","CETE","2019","species","code.plant",0.825674019607843,0.260416666666667,5,0,"Plant - herbivore"
"12","CETE","2019","species","code.plant",0,0,0,0,"Plant - floral visitor"
"13","CETE","2020","group","class",2.02139037433155,2,5,0,"Plant - plant"
"14","CETE","2020","group","class",1.26737967914438,1,4,0,"Intraspecific"
"15","CETE","2020","group","class",0.106951871657754,0,5,0,"Plant - herbivore"
"16","CETE","2020","group","class",0.280748663101604,0,5,0,"Plant - floral visitor"
"17","CETE","2020","family","family",2.02139037433155,2,5,0,"Plant - plant"
"18","CETE","2020","family","family",0.1524064171123,0,2,0,"Intraspecific"
"19","CETE","2020","family","family",0.106951871657754,0,5,0,"Plant - herbivore"
"20","CETE","2020","family","family",0.280748663101604,0,5,0,"Plant - floral visitor"
"21","CETE","2020","species","code.plant",2.02139037433155,2,5,0,"Plant - plant"
"22","CETE","2020","species","code.plant",0.00267379679144384,0,0.5,0,"Intraspecific"
"23","CETE","2020","species","code.plant",0.160427807486631,0,5,0,"Plant - herbivore"
"24","CETE","2020","species","code.plant",0.280748663101604,0,5,0,"Plant - floral visitor"
"25","CETE","2021","group","class",0.856374807987711,0.714285714285714,5,0,"Plant - plant"
"26","CETE","2021","group","class",0.590437788018433,0.535714285714286,5,0,"Intraspecific"
"27","CETE","2021","group","class",0.122461170848268,0,5,0,"Plant - herbivore"
"28","CETE","2021","group","class",0.0470430107526883,0,5,0,"Plant - floral visitor"
"29","CETE","2021","family","family",0.922249793217535,0.769230769230769,5,0,"Plant - plant"
"30","CETE","2021","family","family",0.192307692307692,0,5,0,"Intraspecific"
"31","CETE","2021","family","family",0.122461170848268,0,5,0,"Plant - herbivore"
"32","CETE","2021","family","family",0.0470430107526883,0,5,0,"Plant - floral visitor"
"33","CETE","2021","species","code.plant",0.922249793217535,0.769230769230769,5,0,"Plant - plant"
"34","CETE","2021","species","code.plant",0.00827129859387923,0,1.34615384615385,0,"Intraspecific"
"35","CETE","2021","species","code.plant",0.122461170848268,0,5,0,"Plant - herbivore"
"36","CETE","2021","species","code.plant",0.0470430107526883,0,5,0,"Plant - floral visitor"
"37","LEMA","2019","group","class",1.79950495049505,1.66666666666667,5,0,"Plant - plant"
"38","LEMA","2019","group","class",0.211496149614962,0.0833333333333333,1.66666666666667,0,"Intraspecific"
"39","LEMA","2019","group","class",0.675650898423175,0.555555555555556,5,0,"Plant - herbivore"
"40","LEMA","2019","group","class",0.635313531353135,0,5,0,"Plant - floral visitor"
"41","LEMA","2019","family","family",1.78437843784378,1.66666666666667,5,0,"Plant - plant"
"42","LEMA","2019","family","family",0.0211771177117712,0,0.666666666666667,0,"Intraspecific"
"43","LEMA","2019","family","family",0.387788778877887,0,5,0,"Plant - herbivore"
"44","LEMA","2019","family","family",0.625,0,5,0,"Plant - floral visitor"
"45","LEMA","2019","species","code.plant",1.78437843784378,1.66666666666667,5,0,"Plant - plant"
"46","LEMA","2019","species","code.plant",0.0134763476347635,0,0.333333333333333,0,"Intraspecific"
"47","LEMA","2019","species","code.plant",0.427392739273928,0,5,0,"Plant - herbivore"
"48","LEMA","2019","species","code.plant",1.32013201320132,0.625,5,0,"Plant - floral visitor"
"49","LEMA","2020","group","class",1.19561887254902,1.04166666666667,5,0,"Plant - plant"
"50","LEMA","2020","group","class",0.635723039215686,0.208333333333333,5,0,"Intraspecific"
"51","LEMA","2020","group","class",0.982142857142858,0.714285714285714,5,0,"Plant - herbivore"
"52","LEMA","2020","group","class",0.446189839572193,0,5,0,"Plant - floral visitor"
"53","LEMA","2020","family","family",1.29319852941176,1,5,0,"Plant - plant"
"54","LEMA","2020","family","family",0.172794117647059,0,3.5,0,"Intraspecific"
"55","LEMA","2020","family","family",0.912990196078432,0.625,5,0,"Plant - herbivore"
"56","LEMA","2020","family","family",0.45120320855615,0,5,0,"Plant - floral visitor"
"57","LEMA","2020","species","code.plant",1.29319852941176,1,5,0,"Plant - plant"
"58","LEMA","2020","species","code.plant",0.00275735294117648,0,0.25,0,"Intraspecific"
"59","LEMA","2020","species","code.plant",0.92984068627451,0.625,5,0,"Plant - herbivore"
"60","LEMA","2020","species","code.plant",0.855614973262032,0.454545454545455,5,0,"Plant - floral visitor"
"61","LEMA","2021","group","class",0.949154171472511,0.833333333333333,5,0,"Plant - plant"
"62","LEMA","2021","group","class",0.542579777008843,0.277777777777778,5,0,"Intraspecific"
"63","LEMA","2021","group","class",0.651536739263179,0.411764705882353,5,0,"Plant - herbivore"
"64","LEMA","2021","group","class",0.468700849323687,0.227272727272727,5,0,"Plant - floral visitor"
"65","LEMA","2021","family","family",0.990772779700115,0.833333333333333,5,0,"Plant - plant"
"66","LEMA","2021","family","family",0.0767012687427912,0,5,0,"Intraspecific"
"67","LEMA","2021","family","family",0.67136467212423,0.426829268292683,5,0,"Plant - herbivore"
"68","LEMA","2021","family","family",0.572664359861592,0,5,0,"Plant - floral visitor"
"69","LEMA","2021","species","code.plant",0.97116493656286,0.833333333333333,5,0,"Plant - plant"
"70","LEMA","2021","species","code.plant",0.00461361014994233,0,0.333333333333333,0,"Intraspecific"
"71","LEMA","2021","species","code.plant",0.676006414043379,0.426829268292683,5,0,"Plant - herbivore"
"72","LEMA","2021","species","code.plant",0.547341931424976,0.454545454545455,5,0,"Plant - floral visitor"
"73","HOMA","2019","group","class",0.535931174089069,0.25,2.75,0,"Plant - plant"
"74","HOMA","2019","group","class",0.187753036437247,0.125,1,0,"Intraspecific"
"75","HOMA","2019","group","class",0.849438545565656,0.566037735849057,5,0,"Plant - herbivore"
"76","HOMA","2019","group","class",0,0,0,0,"Plant - floral visitor"
"77","HOMA","2019","family","family",0.535931174089069,0.25,2.75,0,"Plant - plant"
"78","HOMA","2019","family","family",0.00657894736842105,0,0.375,0,"Intraspecific"
"79","HOMA","2019","family","family",0.815166614761756,0.576923076923077,5,0,"Plant - herbivore"
"80","HOMA","2019","family","family",0,0,0,0,"Plant - floral visitor"
"81","HOMA","2019","species","code.plant",0.535931174089069,0.25,2.5,0,"Plant - plant"
"82","HOMA","2019","species","code.plant",0,0,0,0,"Intraspecific"
"83","HOMA","2019","species","code.plant",0.839302398006851,0.576923076923077,5,0,"Plant - herbivore"
"84","HOMA","2019","species","code.plant",0,0,0,0,"Plant - floral visitor"
"85","HOMA","2020","group","class",1.00515463917526,0.833333333333333,5,0,"Plant - plant"
"86","HOMA","2020","group","class",0.893470790378007,0.694444444444444,5,0,"Intraspecific"
"87","HOMA","2020","group","class",0.79160530191458,0.357142857142857,5,0,"Plant - herbivore"
"88","HOMA","2020","group","class",0,0,0,0,"Plant - floral visitor"
"89","HOMA","2020","family","family",1.00515463917526,0.833333333333333,3.05555555555556,0,"Plant - plant"
"90","HOMA","2020","family","family",0.191867124856816,0,3.05555555555556,0,"Intraspecific"
"91","HOMA","2020","family","family",0.979381443298969,0.5,5,0,"Plant - herbivore"
"92","HOMA","2020","family","family",0,0,0,0,"Plant - floral visitor"
"93","HOMA","2020","species","code.plant",1.00515463917526,0.833333333333333,3.05555555555556,0,"Plant - plant"
"94","HOMA","2020","species","code.plant",0,0,0,0,"Intraspecific"
"95","HOMA","2020","species","code.plant",0.838620142743854,0.384615384615385,5,0,"Plant - herbivore"
"96","HOMA","2020","species","code.plant",0,0,0,0,"Plant - floral visitor"
"97","HOMA","2021","group","class",0.675786369593709,0.535714285714286,5,0,"Plant - plant"
"98","HOMA","2021","group","class",0.625819134993447,0.535714285714286,5,0,"Intraspecific"
"99","HOMA","2021","group","class",0.414724018649421,0.040983606557377,5,0,"Plant - herbivore"
"100","HOMA","2021","group","class",0.0458715596330276,0,5,0,"Plant - floral visitor"
"101","HOMA","2021","family","family",0.901048492791612,0.714285714285714,3.80952380952381,0,"Plant - plant"
"102","HOMA","2021","family","family",0.0698995194408038,0,1.66666666666667,0,"Intraspecific"
"103","HOMA","2021","family","family",0.413784027673334,0.040983606557377,5,0,"Plant - herbivore"
"104","HOMA","2021","family","family",0,0,0,0,"Plant - floral visitor"
"105","HOMA","2021","species","code.plant",0.901048492791612,0.714285714285714,3.57142857142857,0,"Plant - plant"
"106","HOMA","2021","species","code.plant",0,0,0,0,"Intraspecific"
"107","HOMA","2021","species","code.plant",0.41547601143029,0.040983606557377,5,0,"Plant - herbivore"
"108","HOMA","2021","species","code.plant",0.0458715596330276,0,5,0,"Plant - floral visitor"
"109","CHFU","2019","group","class",1.17833333333333,1.2,5,0,"Plant - plant"
"110","CHFU","2019","group","class",0.151333333333333,0.1,1,0,"Intraspecific"
"111","CHFU","2019","group","class",0.105555555555555,0,5,0,"Plant - herbivore"
"112","CHFU","2019","group","class",0.55,0,5,0,"Plant - floral visitor"
"113","CHFU","2019","family","family",1.17733333333333,1.2,5,0,"Plant - plant"
"114","CHFU","2019","family","family",0.002,0,0.3,0,"Intraspecific"
"115","CHFU","2019","family","family",0.0738095238095236,0,5,0,"Plant - herbivore"
"116","CHFU","2019","family","family",0.478571428571429,0,5,0,"Plant - floral visitor"
"117","CHFU","2019","species","code.plant",1.17733333333333,1.2,5,0,"Plant - plant"
