"","focal","year","complexity.animal","complexity.plant","parameter_hat","abund.sp","abund.sp.min","abund.sp.max","parameter","inclus"
"1","CETE","2019","group","class","Forb",0.512254901960784,0,1.33333333333333,"Plant - plant","non-inclus"
"2","CETE","2019","group","class","Grass",1.18137254901961,0,5,"Plant - plant","non-inclus"
"3","CETE","2019","group","class","CETE",0.132352941176471,0,0.666666666666667,"Intraspecific","non-inclus"
"4","CETE","2019","group","class","snail",0.825674019607843,0,5,"Plant - herbivore","non-inclus"
"5","CETE","2019","group","class","NoPoll",0,0,0,"Plant - floral visitor","non-inclus"
"6","CETE","2019","family","family","Amaranthaceae",0.286764705882353,0,1.16666666666667,"Plant - plant","non-inclus"
"7","CETE","2019","family","family","Asteraceae",0.166666666666667,0,0.833333333333333,"Plant - plant","non-inclus"
"8","CETE","2019","family","family","Brassicaceae",0,0,0,"Plant - plant","non-inclus"
"9","CETE","2019","family","family","Caryophyllaceae",0.0416666666666667,0,0.5,"Plant - plant","non-inclus"
"10","CETE","2019","family","family","Fabaceae",0.0122549019607843,0,0.166666666666667,"Plant - plant","non-inclus"
"11","CETE","2019","family","family","Frankeniaceae",0,0,0,"Plant - plant","non-inclus"
"12","CETE","2019","family","family","Gentianaceae",0,0,0,"Plant - plant","non-inclus"
"13","CETE","2019","family","family","Lythraceae",0,0,0,"Plant - plant","non-inclus"
"14","CETE","2019","family","family","Plantaginaceae",0.00490196078431373,0,0.166666666666667,"Plant - plant","non-inclus"
"15","CETE","2019","family","family","Poaceae",1.18137254901961,0,5,"Plant - plant","non-inclus"
"16","CETE","2019","family","family","Primulacea",0,0,0,"Plant - plant","non-inclus"
"17","CETE","2019","family","family","Ranunculuc",0,0,0,"Plant - plant","non-inclus"
"18","CETE","2019","family","family","CETE",0.132352941176471,0,0.666666666666667,"Intraspecific","non-inclus"
"19","CETE","2019","family","family","Geomitridae",0.00306372549019608,0,0.104166666666667,"Plant - herbivore","non-inclus"
"20","CETE","2019","family","family","Helicidae",0.822610294117647,0,5,"Plant - herbivore","non-inclus"
"21","CETE","2019","family","family","NoPoll",0,0,0,"Plant - floral visitor","non-inclus"
"22","CETE","2019","species","code.plant","ACHI",0,0,0,"Plant - plant","non-inclus"
"23","CETE","2019","species","code.plant","ANAR",0,0,0,"Plant - plant","non-inclus"
"24","CETE","2019","species","code.plant","BEMA",0.122549019607843,0,0.833333333333333,"Plant - plant","non-inclus"
"25","CETE","2019","species","code.plant","CETE",0.132352941176471,0,0.666666666666667,"Plant - plant","non-inclus"
"26","CETE","2019","species","code.plant","CHFU",0,0,0,"Plant - plant","non-inclus"
"27","CETE","2019","species","code.plant","CHMI",0,0,0,"Plant - plant","non-inclus"
"28","CETE","2019","species","code.plant","COSQ",0,0,0,"Plant - plant","non-inclus"
"29","CETE","2019","species","code.plant","FRPU",0,0,0,"Plant - plant","non-inclus"
"30","CETE","2019","species","code.plant","HOMA",0.656862745098039,0,5,"Plant - plant","non-inclus"
"31","CETE","2019","species","code.plant","LEMA",0.071078431372549,0,0.833333333333333,"Plant - plant","non-inclus"
"32","CETE","2019","species","code.plant","LYTR",0,0,0,"Plant - plant","non-inclus"
"33","CETE","2019","species","code.plant","MEEL",0,0,0,"Plant - plant","non-inclus"
"34","CETE","2019","species","code.plant","MEPO",0,0,0,"Plant - plant","non-inclus"
"35","CETE","2019","species","code.plant","MESU",0.0122549019607843,0,0.166666666666667,"Plant - plant","non-inclus"
"36","CETE","2019","species","code.plant","PAIN",0.0343137254901961,0,1,"Plant - plant","non-inclus"
"37","CETE","2019","species","code.plant","PLCO",0.00490196078431373,0,0.166666666666667,"Plant - plant","non-inclus"
"38","CETE","2019","species","code.plant","POMA",0.485294117647059,0,1.66666666666667,"Plant - plant","non-inclus"
"39","CETE","2019","species","code.plant","POMO",0.00490196078431373,0,0.333333333333333,"Plant - plant","non-inclus"
"40","CETE","2019","species","code.plant","PUPA",0.0955882352941176,0,0.666666666666667,"Plant - plant","non-inclus"
"41","CETE","2019","species","code.plant","RAPE",0,0,0,"Plant - plant","non-inclus"
"42","CETE","2019","species","code.plant","SASO",0.16421568627451,0,1.16666666666667,"Plant - plant","non-inclus"
"43","CETE","2019","species","code.plant","SCLA",0,0,0,"Plant - plant","non-inclus"
"44","CETE","2019","species","code.plant","SOAS",0,0,0,"Plant - plant","non-inclus"
"45","CETE","2019","species","code.plant","SPRU",0.0416666666666667,0,0.5,"Plant - plant","non-inclus"
"46","CETE","2019","species","code.plant","SUSP",0,0,0,"Intraspecific","non-inclus"
"47","CETE","2019","species","code.plant","Cochlicella_barbara",0.00306372549019608,0,0.104166666666667,"Plant - herbivore","non-inclus"
"48","CETE","2019","species","code.plant","Theba_pisana",0.822610294117647,0,5,"Plant - herbivore","non-inclus"
"49","CETE","2019","species","code.plant","NoPoll",0,0,0,"Plant - floral visitor","non-inclus"
"50","CETE","2020","group","class","Forb",1.26737967914438,0,4,"Plant - plant","non-inclus"
"51","CETE","2020","group","class","Grass",0.754010695187166,0,5,"Plant - plant","non-inclus"
"52","CETE","2020","group","class","CETE",0.518716577540107,0,3.5,"Intraspecific","non-inclus"
"53","CETE","2020","group","class","beetle",0.0267379679144385,0,5,"Plant - herbivore","non-inclus"
"54","CETE","2020","group","class","snail",0.0802139037433155,0,2.5,"Plant - herbivore","non-inclus"
"55","CETE","2020","group","class","bee",0.147058823529412,0,5,"Plant - floral visitor","non-inclus"
"56","CETE","2020","group","class","fly",0.133689839572193,0,5,"Plant - floral visitor","non-inclus"
"57","CETE","2020","family","family","Amaranthaceae",0.152406417112299,0,2,"Plant - plant","non-inclus"
"58","CETE","2020","family","family","Asteraceae",0.874331550802139,0,3.5,"Plant - plant","non-inclus"
"59","CETE","2020","family","family","Brassicaceae",0,0,0,"Plant - plant","non-inclus"
"60","CETE","2020","family","family","Caryophyllaceae",0.114973262032086,0,4,"Plant - plant","non-inclus"
"61","CETE","2020","family","family","Fabaceae",0.0588235294117647,0,2,"Plant - plant","non-inclus"
"62","CETE","2020","family","family","Frankeniaceae",0,0,0,"Plant - plant","non-inclus"
"63","CETE","2020","family","family","Gentianaceae",0,0,0,"Plant - plant","non-inclus"
"64","CETE","2020","family","family","Lythraceae",0,0,0,"Plant - plant","non-inclus"
"65","CETE","2020","family","family","Plantaginaceae",0.0508021390374332,0,2,"Plant - plant","non-inclus"
"66","CETE","2020","family","family","Poaceae",0.754010695187166,0,5,"Plant - plant","non-inclus"
"67","CETE","2020","family","family","Primulacea",0.0160427807486631,0,0.5,"Plant - plant","non-inclus"
"68","CETE","2020","family","family","Ranunculuc",0,0,0,"Plant - plant","non-inclus"
"69","CETE","2020","family","family","CETE",0.518716577540107,0,3.5,"Intraspecific","non-inclus"
"70","CETE","2020","family","family","Coccinellidae",0.0267379679144385,0,5,"Plant - herbivore","non-inclus"
"71","CETE","2020","family","family","Helicidae",0.0802139037433155,0,2.5,"Plant - herbivore","non-inclus"
"72","CETE","2020","family","family","Andrenidae",0.0133689839572193,0,2.5,"Plant - floral visitor","non-inclus"
"73","CETE","2020","family","family","Bombyliidae",0.0935828877005348,0,5,"Plant - floral visitor","non-inclus"
"74","CETE","2020","family","family","Halictidae",0.133689839572193,0,5,"Plant - floral visitor","non-inclus"
"75","CETE","2020","family","family","Syrphidae",0.0133689839572193,0,2.5,"Plant - floral visitor","non-inclus"
"76","CETE","2020","family","family","Tabanidae",0.0267379679144385,0,2.5,"Plant - floral visitor","non-inclus"
"77","CETE","2020","species","code.plant","ACHI",0.00267379679144385,0,0.5,"Plant - plant","non-inclus"
"78","CETE","2020","species","code.plant","ANAR",0.0160427807486631,0,0.5,"Plant - plant","non-inclus"
"79","CETE","2020","species","code.plant","BEMA",0.120320855614973,0,2,"Plant - plant","non-inclus"
"80","CETE","2020","species","code.plant","CETE",0.518716577540107,0,3.5,"Plant - plant","non-inclus"
"81","CETE","2020","species","code.plant","CHFU",0.0133689839572193,0,0.5,"Plant - plant","non-inclus"
"82","CETE","2020","species","code.plant","CHMI",0.00267379679144385,0,0.5,"Plant - plant","non-inclus"
