aus_pdsi,year,month,year.month
0.039339466577721194,2004,1,2004_1
0.4261454697267777,2004,2,2004_2
-0.7877650348936975,2004,3,2004_3
-0.9994368539497077,2004,4,2004_4
0.6269379029619487,2004,5,2004_5
0.8238290817940711,2004,6,2004_6
0.7918119456123455,2004,7,2004_7
-0.4694449702063838,2004,8,2004_8
0.45890345762222046,2004,9,2004_9
0.4460254477610669,2004,10,2004_10
0.40958344044982997,2004,11,2004_11
-0.1408589182273477,2004,12,2004_12
-0.9101602980260204,2005,1,2005_1
-1.4922363340533806,2005,2,2005_2
0.34220582238783265,2005,3,2005_3
0.1184544419443706,2005,4,2005_4
1.6247347866017376,2005,5,2005_5
2.2284686223301966,2005,6,2005_6
-1.2291968109086548,2005,7,2005_7
-0.535600307004735,2005,8,2005_8
-0.48078189409386496,2005,9,2005_9
-0.5608335747921485,2005,10,2005_10
-0.9587413275867035,2005,11,2005_11
-1.3204780732440788,2005,12,2005_12
2.9206763192705854,2006,1,2006_1
3.104746267208537,2006,2,2006_2
-0.4255601408599902,2006,3,2006_3
-0.08273910187372022,2006,4,2006_4
-0.7532127342143721,2006,5,2006_5
-1.575248510780205,2006,6,2006_6
-2.0893984491626973,2006,7,2006_7
-2.737270715983656,2006,8,2006_8
-2.6323116410749163,2006,9,2006_9
-3.1719213235515555,2006,10,2006_10
-3.543998490425643,2006,11,2006_11
-2.9470178979693493,2006,12,2006_12
-2.9408287537661826,2007,1,2007_1
-3.1544758333324285,2007,2,2007_2
-3.519295716891846,2007,3,2007_3
-3.661714765844957,2007,4,2007_4
-3.619600030856583,2007,5,2007_5
-3.971623847000859,2007,6,2007_6
-3.335043771822061,2007,7,2007_7
-3.7967394288423977,2007,8,2007_8
-3.7589968434076653,2007,9,2007_9
-3.688160251781782,2007,10,2007_10
-3.8948337698920454,2007,11,2007_11
-3.3973727419710174,2007,12,2007_12
-3.727468463654064,2008,1,2008_1
1.4881279985183837,2008,2,2008_2
1.425314117830103,2008,3,2008_3
1.70464054169528,2008,4,2008_4
-0.8880135534775055,2008,5,2008_5
-1.1259861658862242,2008,6,2008_6
-0.2874189255113601,2008,7,2008_7
-0.610468632730242,2008,8,2008_8
-0.7606989274134859,2008,9,2008_9
-0.6291553695433425,2008,10,2008_10
-0.810990618832919,2008,11,2008_11
-0.9506344371483096,2008,12,2008_12
-0.33283628898622547,2009,1,2009_1
-0.9505497911339352,2009,2,2009_2
-1.566865047940134,2009,3,2009_3
-1.8222924273262051,2009,4,2009_4
0.1199238593335956,2009,5,2009_5
0.2614417691968409,2009,6,2009_6
0.6504202084718688,2009,7,2009_7
0.4113143414741342,2009,8,2009_8
0.5608093673260672,2009,9,2009_9
0.36518617796064456,2009,10,2009_10
0.5764378562844811,2009,11,2009_11
0.6960595982239755,2009,12,2009_12
-0.8122712745270156,2010,1,2010_1
-1.4887709475435509,2010,2,2010_2
-1.5488883362648198,2010,3,2010_3
-1.878401541944901,2010,4,2010_4
-2.082883281043175,2010,5,2010_5
-2.3060600127441937,2010,6,2010_6
-2.2505903741192657,2010,7,2010_7
-1.666194121208469,2010,8,2010_8
-1.3966738902315887,2010,9,2010_9
-1.5943205466630064,2010,10,2010_10
-1.9164351134936872,2010,11,2010_11
-1.3790360390756158,2010,12,2010_12
-0.8056997999081033,2011,1,2011_1
-1.0523490470452492,2011,2,2011_2
-1.2240759849915779,2011,3,2011_3
-1.5992486302284963,2011,4,2011_4
0.5846095017132112,2011,5,2011_5
1.1010556939143006,2011,6,2011_6
1.8333771194119806,2011,7,2011_7
2.0175624382794433,2011,8,2011_8
