"","final.code","species_id","family","count","mean","sd"
"1","ARCA","Arctotheca calendula","Asteraceae",1084,7.84440344403442,25.2892466098412
"2","GOBE","Goodenia berardiana","Goodeniaceae",1003,2.9029577932868,7.31947664898587
"3","GORO","Goodenia rosea","Goodeniaceae",946,25.6254404510219,84.9672735211485
"4","HYGL","Hyalosperma glutinosum","Asteraceae",687,9.19335274138768,130.56659103063
"5","LARO","Lawrencella rosea","Asteraceae",815,3.07075664621677,6.1327484019921
"6","MIMY","Millotia myosotidifolia","Asteraceae",611,2.72285870158212,9.56660227945435
"7","PEAI","Pentameris airoides","Poaceae",1475,15.9245197740113,46.1007918244971
"8","PLDE","Plantago debilis","Plantaginaceae",897,6.05704199182459,22.594340310305
"9","POAR","Podolepis aristata","Asteraceae",1133,6.28920270667843,12.7472682786826
"10","POLE","Podolepis lessonii","Asteraceae",920,5.70452898550726,16.8655126840222
"11","TRCY","Trachymene cyanopetala","Araliaceae",1274,11.5296964939822,68.2431456000391
"12","WAAC","Waitzia acuminata","Asteraceae",1639,6.39363432987593,9.67702773807185
