"","code.analysis","species","family","Native.sp","count","mean","sd"
"1","BEMA","Beta macrocarpa","Amaranthaceae","Native Annual Forb",2916,1.8903463648834,4.17049284245204
"2","CETE","Centaurium tenuiflorum","Gentianaceae","Native Annual Forb",2916,0.616512345679012,1.67906108192309
"3","CHFU","Chamaemelum fuscatum","Asteraceae","Native Annual Forb",2916,1.9747085048011,4.09476393479831
"4","HOMA","Hordeum marinum","Poaceae","Native Annual Grass",2916,19.2928669410151,29.5324705250218
"5","LEMA","Leontodon maroccanus","Asteraceae","Native Annual Forb",2916,4.92275377229081,9.82121112287779
"6","ME.sp","Melilotus elengans","Fabaceae","Native Annual Forb",2916,0.0543552812071331,0.261860795989748
"7","ME.sp","Melilotus sulcatus","Fabaceae","Native Annual Forb",2916,0.541666666666667,2.44692809832107
"8","PAIN","Parapholis incurva","Poaceae","Native Annual Grass",2916,1.39471879286694,2.9733120336079
"9","PLCO","Plantago coronopus","Plantaginaceae","Native Annual Forb",2916,0.939214677640604,3.86063114409301
"10","PO.sp","Polypogon martinus","Poaceae","Native Annual Grass",2916,1.96184842249657,4.79817157632113
"11","PO.sp","Polypogon monspeliensis","Poaceae","Native Annual Grass",2916,0.177383401920439,0.630298721783203
"12","SASO","Salsola soda","Amaranthaceae","Native Annual Forb",2916,1.72067901234568,5.04297119857184
"13","SCLA","Scorzonera laciniata","Asteraceae","Native Annual Forb",2916,0.453703703703704,1.41005334254294
"14","SPRU","Spergularia rubra","Caryophyllaceae","Native Annual Forb",2916,0.414437585733882,2.10505820437056
