"","code","name","family","main.collector","year","scale","n.obs","mean.ind.seed","sd.ind.seed"
"1","ARCA","Arctotheca calendula","Asteraceae","Martyn",2016,15,645,52.7720930232559,112.018351269931
"2","ARCA","Arctotheca calendula","Asteraceae","Pastore",2017,15,10,85.7,122.322024908754
"3","ARCA","Arctotheca calendula","Asteraceae","Taylor",2023,15,46,38.195652173913,55.0626389024223
"4","ARCA","Arctotheca calendula","Asteraceae","Wainwright",2014,25,13,9.07692307692307,23.6130667867798
"5","ARCA","Arctotheca calendula","Asteraceae","Wainwright",2015,30,18,483.777777777778,284.672888759663
"6","GOBE","Goodenia berardiana","Goodeniaceae","Martyn",2016,15,74,46.5675675675676,45.5724866171243
"7","GOBE","Goodenia berardiana","Goodeniaceae","Pastore",2017,15,15,12.4666666666667,12.7999255950218
"8","GOBE","Goodenia berardiana","Goodeniaceae","Taylor",2023,15,53,3.69811320754717,5.04054677154854
"9","GORO","Goodenia rosea","Goodeniaceae","Martyn",2016,15,672,42.8407738095238,46.0227048676493
"10","GORO","Goodenia rosea","Goodeniaceae","Pastore",2017,15,793,9.67213114754098,10.7054664891567
"11","GORO","Goodenia rosea","Goodeniaceae","Sevenello",2022,15,77,78.0779220779221,52.8754161943969
"12","GORO","Goodenia rosea","Goodeniaceae","Taylor",2023,15,842,5.8479809976247,6.42643744060404
"13","GORO","Goodenia rosea","Goodeniaceae","Wainwright",2015,30,26,178.269230769231,117.843475064955
"14","HYGL","Hyalosperma glutinosum","Asteraceae","Martyn",2016,15,124,28.1612903225806,42.998087894105
"15","HYGL","Hyalosperma glutinosum","Asteraceae","Pastore",2017,15,320,10.575,10.5572331798532
"16","HYGL","Hyalosperma glutinosum","Asteraceae","Taylor",2023,15,991,4.56104944500505,4.80341382269924
"17","HYGL","Hyalosperma glutinosum","Asteraceae","Wainwright",2015,30,21,8.61904761904762,15.8444822902996
"18","LARO","Lawrencella rosea","Asteraceae","Sevenello",2022,15,106,22.4245283018868,22.8143430713089
"19","LARO","Lawrencella rosea","Asteraceae","Taylor",2023,15,261,4.41762452107279,5.14836752588141
"20","MIMY","Millotia myosotidifolia","Asteraceae","Taylor",2023,15,881,14.9103291713963,18.9313927597349
"21","PEAI","Pentameris airoides","Poaceae","Martyn",2016,15,874,206.655606407322,350.009578231774
"22","PEAI","Pentameris airoides","Poaceae","Pastore",2017,15,100,30.45,70.9394926409938
"23","PEAI","Pentameris airoides","Poaceae","Taylor",2023,15,189,36.4021164021164,25.620952109287
"24","PEAI","Pentameris airoides","Poaceae","Wainwright",2015,30,19,277.947368421053,302.512162048296
"25","PLDE","Plantago debilis","Plantaginaceae","Martyn",2016,15,186,38.7903225806452,38.9594954307638
"26","PLDE","Plantago debilis","Plantaginaceae","Pastore",2017,15,49,11.734693877551,12.1050531979488
"27","PLDE","Plantago debilis","Plantaginaceae","Taylor",2023,15,4,12.25,3.77491721763537
"28","POAR","Podolepis aristata","Asteraceae","Martyn",2016,15,502,162.296812749004,241.687632547361
"29","POAR","Podolepis aristata","Asteraceae","Pastore",2017,15,127,53.5669291338582,93.0143862017857
"30","POAR","Podolepis aristata","Asteraceae","Sevenello",2022,15,78,293.833333333333,263.970748904223
"31","POAR","Podolepis aristata","Asteraceae","Taylor",2023,15,248,25.3870967741936,36.303758892927
"32","POAR","Podolepis aristata","Asteraceae","Wainwright",2015,30,21,2333,1974.42047193601
"33","POLE","Podolepis lessonii","Asteraceae","Martyn",2016,15,78,339.564102564103,793.072221040145
"34","POLE","Podolepis lessonii","Asteraceae","Pastore",2017,15,10,37.5,67.9677210969377
"35","POLE","Podolepis lessonii","Asteraceae","Taylor",2023,15,805,7.75155279503103,12.247058259789
"36","TRCY","Trachymene cyanopetala","Araliaceae","Martyn",2016,15,66,12.7121212121212,19.3944997369517
"37","TRCY","Trachymene cyanopetala","Araliaceae","Pastore",2017,15,5,4.4,3.286335345031
"38","TRCY","Trachymene cyanopetala","Araliaceae","Taylor",2023,15,1050,8.05714285714286,7.67776750428958
"39","TRCY","Trachymene cyanopetala","Araliaceae","Wainwright",2014,25,58,43.6034482758621,34.3766238685904
"40","TRCY","Trachymene cyanopetala","Araliaceae","Wainwright",2015,30,21,33.8571428571429,32.6623417933952
"41","WAAC","Waitzia acuminata","Asteraceae","Martyn",2016,15,135,143.377777777778,230.62947173731
"42","WAAC","Waitzia acuminata","Asteraceae","Pastore",2017,15,22,38.3636363636364,64.0792258547744
"43","WAAC","Waitzia acuminata","Asteraceae","Taylor",2023,15,281,16.4768683274021,30.6624537530446
"44","WAAC","Waitzia acuminata","Asteraceae","Wainwright",2014,25,52,202.076923076923,192.254717288702
