,focal.analysis,year,n.obs,mean.ind.seed,sd.ind.seed
1,BEMA,2015,117,2163.796285,4036.26911
2,BEMA,2016,287,1341.984223,1410.170002
3,BEMA,2017,18,1192.014588,1211.703586
4,BEMA,2018,20,931.7460352,858.618704
5,BEMA,2019,76,292.6443778,289.4169799
6,BEMA,2020,250,3159.155699,4349.120454
7,BEMA,2021,183,719.8122759,848.5839998
8,CETE,2015,130,834.3104018,963.9068843
9,CETE,2016,10,1196.185678,936.3514391
10,CETE,2017,101,2382.429208,3052.230837
11,CETE,2018,61,866.0781271,849.1853902
12,CETE,2019,75,4539.528471,3129.124157
13,CETE,2020,209,1452.010624,1688.24424
14,CETE,2021,194,1303.858207,1730.553887
15,CHFU,2015,126,8368.219995,10153.24847
16,CHFU,2017,123,2459.465994,2563.144231
17,CHFU,2019,300,5350.388371,6565.8379
18,CHFU,2020,160,217.6319587,518.1070481
19,CHFU,2021,125,274.6726617,384.2417048
20,HOMA,2015,202,276.1443904,188.7667836
21,HOMA,2016,288,45.23957205,145.9218999
22,HOMA,2017,216,34.97470175,22.94559381
23,HOMA,2018,216,38.61945651,23.03654346
24,HOMA,2019,247,23,0
25,HOMA,2020,192,61.92680206,54.17196365
26,HOMA,2021,217,42.75781967,27.91600703
27,LEMA,2015,210,5199.087299,5376.968812
28,LEMA,2016,273,1062.089317,1208.615229
29,LEMA,2017,207,1524.831445,1662.031986
30,LEMA,2018,80,627.069669,620.451315
31,LEMA,2019,303,2959.797584,3167.357895
32,LEMA,2020,272,364.8260222,526.865554
33,LEMA,2021,287,368.4200128,445.7693894
34,ME.sp,2015,219,56.00397016,53.6018817
35,ME.sp,2016,305,115.3994728,161.8174082
36,ME.sp,2017,15,37451.327,30808.16718
37,ME.sp,2019,86,62480.40102,70899.62482
38,ME.sp,2020,57,498.5349812,360.8035683
39,ME.sp,2021,105,15817.90312,28153.2256
40,PAIN,2015,217,167.4375232,135.166954
41,PAIN,2016,108,710.0715337,899.9759412
42,PAIN,2017,196,602.0491403,326.6953269
43,PAIN,2018,19,424.3564606,177.8963374
44,PAIN,2019,252,30.10108839,6.576634447
45,PAIN,2020,178,53.5005888,39.69748601
46,PAIN,2021,246,48.9517146,39.09072251
47,PLCO,2015,213,540.9113474,552.5232424
48,PLCO,2016,169,259.0006365,187.7175508
49,PLCO,2017,89,193.3621388,131.175943
50,PLCO,2019,32,131.9848257,51.38501313
51,PLCO,2020,97,835.24615,639.552092
52,PLCO,2021,113,348.5602611,242.2870657
53,PO.sp,2015,362,628.1909916,741.541182
54,PO.sp,2016,106,74.6811379,23.24872635
55,PO.sp,2017,231,909.5140967,1007.812498
56,PO.sp,2018,46,828.6697158,956.1115827
57,PO.sp,2019,230,726.1288548,573.6795998
58,PO.sp,2020,108,1227.331712,1498.302345
59,PO.sp,2021,110,253.8552968,170.992057
60,SASO,2015,287,177.7017405,388.0294479
61,SASO,2016,290,47.38037898,41.62367656
62,SASO,2017,86,23.95660724,33.5047813
63,SASO,2018,205,97.41517805,147.5383173
64,SASO,2019,106,12.24567577,8.546135984
65,SASO,2020,118,81.36440678,199.4270282
66,SASO,2021,120,28.40644465,30.66001237
67,SCLA,2015,149,146.9404828,154.6341725
68,SCLA,2016,100,54.02078033,41.69611482
69,SCLA,2017,32,50.81931769,31.91754287
70,SCLA,2019,10,46.76321507,25.80259538
71,SCLA,2020,122,100.9368658,132.740163
72,SCLA,2021,138,99.84793332,114.0527369
73,SPRU,2015,32,617.3480846,523.8895278
74,SPRU,2016,44,393.8640953,340.3131044
75,SPRU,2017,12,905.3002147,658.1839668
76,SPRU,2019,56,1436.046349,538.0829486
77,SPRU,2020,58,1227.855929,986.0451325
78,SPRU,2021,42,608.1047537,658.8716304
79,rare,2015,499,580.971075,850.4571438
80,rare,2016,190,525.7114401,601.9294173
81,rare,2017,286,6093.504145,11624.49267
82,rare,2018,128,6493.50491,7551.099994
83,rare,2019,210,12726.19886,14848.04651
84,rare,2020,360,383.160799,622.6271697
85,rare,2021,238,803.8934593,1353.061712
