"","parameter","mean","se_mean","sd","2.5%","10%","25%","50%","75%","90%","97.5%","n_eff","Rhat","model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","neigh"
"1","(Intercept)...1",-0.0361932235917396,1.95632580008478e-05,0.000739675991917492,-0.037610796477082,-0.0371382477329397,-0.0366918574071856,-0.0362272091081237,-0.0357058643699075,-0.0352400811990001,-0.0347222395451677,1429.55438057595,0.999560229455897,"interaction_stan_0",-11747.8572175248,196.71701562529,14836.1052671341,768.172975445277,20.8408742517629,0.911600233828249,-29672.2105342682,1536.34595089055,"amaranthaceae"
"2","density...2",-0.268794232140161,3.69952101044892e-05,0.00132398305567866,-0.271579361694236,-0.270501035409471,-0.269654548195952,-0.268737615071818,-0.267865231077269,-0.267190300524376,-0.266299726433917,1280.77799635102,1.00102394726492,"interaction_stan_0",-11747.8572175248,196.71701562529,14836.1052671341,768.172975445277,20.8408742517629,0.911600233828249,-29672.2105342682,1536.34595089055,"amaranthaceae"
"3","sigma...3",0.209753803611111,2.51969473352319e-05,0.000461433730478669,0.208865246005207,0.209154078555835,0.209430333208566,0.209740394617132,0.210065291357485,0.210372854720334,0.210654036682953,335.368925502267,0.999185018036174,"interaction_stan_0",-11747.8572175248,196.71701562529,14836.1052671341,768.172975445277,20.8408742517629,0.911600233828249,-29672.2105342682,1536.34595089055,"amaranthaceae"
"4","mean_PPD...4",0.0283785312053271,2.3033732344248e-05,0.00092394205791181,0.0265760865292135,0.0271493227286296,0.0277790357886227,0.0283910702560201,0.0290190590722125,0.0295146887265538,0.0301564054014373,1609.01777356781,0.998911798442741,"interaction_stan_0",-11747.8572175248,196.71701562529,14836.1052671341,768.172975445277,20.8408742517629,0.911600233828249,-29672.2105342682,1536.34595089055,"amaranthaceae"
"5","log-posterior...5",14843.6645219048,0.0560630826424104,1.26223586422214,14840.2981220485,14841.9659360318,14843.087565039,14843.9771162672,14844.5861770949,14844.8975881813,14845.0843956375,506.905593742414,1.00127388001784,"interaction_stan_0",-11747.8572175248,196.71701562529,14836.1052671341,768.172975445277,20.8408742517629,0.911600233828249,-29672.2105342682,1536.34595089055,"amaranthaceae"
"6","(Intercept)...6",-0.02111577407311,1.59406498041873e-05,0.000777564074180531,-0.0225653890115697,-0.0221039756991754,-0.0216649754585367,-0.0211314219079273,-0.0205875747505242,-0.0201284409979014,-0.0195722647225463,2379.36095909748,0.999818676471074,"interaction_stan_psi",-10084.4539813427,178.42629086366,16499.5085033153,779.769640754541,20.9798718096162,0.893756696821619,-32999.0170066307,1559.53928150908,"amaranthaceae"
"7","density...7",-0.262719999380426,3.11743002709278e-05,0.00128047918901221,-0.265210493464925,-0.264329460697739,-0.263589604777978,-0.262777949862377,-0.261847232276071,-0.261068823352063,-0.260222758628444,1687.14193626129,0.999826669333766,"interaction_stan_psi",-10084.4539813427,178.42629086366,16499.5085033153,779.769640754541,20.9798718096162,0.893756696821619,-32999.0170066307,1559.53928150908,"amaranthaceae"
"8","spain_pdsi...8",0.0163417147481754,7.28237459035639e-06,0.000283936410767937,0.0158013375015767,0.0159741588804112,0.0161470640087836,0.0163444365489784,0.0165386931453995,0.0167106763199117,0.0168979499487174,1520.18396580676,0.998571377800985,"interaction_stan_psi",-10084.4539813427,178.42629086366,16499.5085033153,779.769640754541,20.9798718096162,0.893756696821619,-32999.0170066307,1559.53928150908,"amaranthaceae"
"9","sigma...9",0.206476406088371,1.95424855574432e-05,0.00043253678549739,0.205642062598609,0.205912734236544,0.206178221554563,0.206491857847567,0.206769988599323,0.207033056985453,0.207321040105951,489.876377128274,1.00204210716553,"interaction_stan_psi",-10084.4539813427,178.42629086366,16499.5085033153,779.769640754541,20.9798718096162,0.893756696821619,-32999.0170066307,1559.53928150908,"amaranthaceae"
"10","mean_PPD...10",0.0283614109455088,2.21045039608806e-05,0.000918875182703389,0.0265096720056085,0.0272200176249121,0.0277098644100388,0.0283496634637808,0.0289787171506584,0.0295686975313994,0.0301677859935999,1728.03087255672,1.00050424485304,"interaction_stan_psi",-10084.4539813427,178.42629086366,16499.5085033153,779.769640754541,20.9798718096162,0.893756696821619,-32999.0170066307,1559.53928150908,"amaranthaceae"
"11","log-posterior...11",16506.2433280671,0.0510783660898633,1.39176211626387,16502.9294208537,16504.328778696,16505.5731868146,16506.5703673845,16507.2382837257,16507.685278359,16507.9856402553,742.430882538149,1.00052832887361,"interaction_stan_psi",-10084.4539813427,178.42629086366,16499.5085033153,779.769640754541,20.9798718096162,0.893756696821619,-32999.0170066307,1559.53928150908,"amaranthaceae"
"12","(Intercept)...12",0.0202909518114073,1.85013783187318e-05,0.00074029321538752,0.0189077888736008,0.0193161992055126,0.0197791023688739,0.0203081207141756,0.0207791791529133,0.0212310257763925,0.0217950189753397,1601.02963543948,0.99897528008998,"interaction_stan_int",0,0,26583.9624846561,757.604178606692,23.9459840336286,1.01251629350607,-53167.9249693122,1515.20835721338,"amaranthaceae"
"13","density...13",-0.152432638402302,4.0963758106468e-05,0.00141279834920089,-0.155254512975909,-0.154237416043083,-0.153418567742571,-0.152386869934906,-0.151457395604638,-0.150660528872453,-0.149631022185698,1189.48993532559,1.00051408274605,"interaction_stan_int",0,0,26583.9624846561,757.604178606692,23.9459840336286,1.01251629350607,-53167.9249693122,1515.20835721338,"amaranthaceae"
"14","spain_pdsi...14",0.0462352726933826,1.09968093487644e-05,0.000325468902550908,0.0456030876371221,0.0458132500482268,0.046016738508753,0.0462341953288354,0.0464569217152941,0.046645100519568,0.0468634612275828,875.962687782434,0.998824530783197,"interaction_stan_int",0,0,26583.9624846561,757.604178606692,23.9459840336286,1.01251629350607,-53167.9249693122,1515.20835721338,"amaranthaceae"
"15","density:spain_pdsi",0.0910766259512175,2.13271043961619e-05,0.000606007733395285,0.0898881853563688,0.090317731489935,0.0906586684296335,0.0910781245855991,0.0914827910552595,0.0918355053873887,0.0922541364723823,807.407060792402,1.00068391255634,"interaction_stan_int",0,0,26583.9624846561,757.604178606692,23.9459840336286,1.01251629350607,-53167.9249693122,1515.20835721338,"amaranthaceae"
"16","sigma...16",0.187336930186515,1.5940221405177e-05,0.000404722666045882,0.186566975461949,0.186814678578958,0.187057790578228,0.187332730428606,0.187606501553087,0.187856900745963,0.188146867562354,644.653516241163,1.0007272579378,"interaction_stan_int",0,0,26583.9624846561,757.604178606692,23.9459840336286,1.01251629350607,-53167.9249693122,1515.20835721338,"amaranthaceae"
"17","mean_PPD...17",0.0283593952596425,1.75573898186133e-05,0.000826403503079275,0.0267515491495838,0.0273186342080596,0.0277948788831117,0.0283468532093951,0.0289223859826299,0.0294109685402147,0.0300825316589924,2215.46246030336,0.999083542205235,"interaction_stan_int",0,0,26583.9624846561,757.604178606692,23.9459840336286,1.01251629350607,-53167.9249693122,1515.20835721338,"amaranthaceae"
"18","log-posterior...18",26591.2122786063,0.0759178549410923,1.51674035408256,26587.6658594195,26589.1820097117,26590.3523529435,26591.4743897523,26592.3826336161,26592.8709405921,26593.2287824434,399.148614519392,1.00702592052438,"interaction_stan_int",0,0,26583.9624846561,757.604178606692,23.9459840336286,1.01251629350607,-53167.9249693122,1515.20835721338,"amaranthaceae"
"19","(Intercept)...1",-0.328678412586908,9.52288540594917e-06,0.000347348240064258,-0.329381279373141,-0.329104318043342,-0.32889942983515,-0.328689069961496,-0.328448696889047,-0.328237915187239,-0.32799759748251,1330.43324629983,0.999468886453326,"interaction_stan_0",-298.009582414457,33.483443490463,124389.383345828,392.888732616375,6.81446729582659,0.151864365550188,-248778.766691656,785.777465232749,"asteraceae"
"20","density...2",-0.505653343786171,2.20605353918463e-05,0.000687310404669391,-0.507028965443926,-0.506509038131174,-0.506088587226296,-0.505654579124359,-0.505216575044225,-0.504799414572255,-0.504247282584336,970.674767542281,1.00028723256154,"interaction_stan_0",-298.009582414457,33.483443490463,124389.383345828,392.888732616375,6.81446729582659,0.151864365550188,-248778.766691656,785.777465232749,"asteraceae"
"21","sigma...3",0.0680046888946666,8.21214546137315e-06,0.000141211456869363,0.0677259336427453,0.0678289612534158,0.0679097960971232,0.0679999711506852,0.0681053019968324,0.068182520586774,0.0682847064857317,295.683166496952,1.00692006165783,"interaction_stan_0",-298.009582414457,33.483443490463,124389.383345828,392.888732616375,6.81446729582659,0.151864365550188,-248778.766691656,785.777465232749,"asteraceae"
"22","mean_PPD...4",-0.140232096946658,7.89501309027986e-06,0.00031011161527897,-0.140818807044153,-0.140629704933989,-0.140438112381581,-0.140234901149016,-0.14001851911952,-0.139832940916627,-0.139602233118804,1542.87363356532,0.998659597705183,"interaction_stan_0",-298.009582414457,33.483443490463,124389.383345828,392.888732616375,6.81446729582659,0.151864365550188,-248778.766691656,785.777465232749,"asteraceae"
"23","log-posterior...5",124389.556485207,0.0500478826131252,1.20396695142345,124386.487494341,124387.907857883,124389.026854962,124389.898750704,124390.456763503,124390.731052513,124390.927611195,578.705639787715,1.00615329170322,"interaction_stan_0",-298.009582414457,33.483443490463,124389.383345828,392.888732616375,6.81446729582659,0.151864365550188,-248778.766691656,785.777465232749,"asteraceae"
"24","(Intercept)...6",-0.326781043131723,1.05883867676735e-05,0.000394689333554404,-0.327555509071046,-0.327278132766172,-0.327032454909053,-0.326786126569705,-0.32651625067112,-0.326288724308353,-0.326011604540915,1389.47643694882,1.00194268668647,"interaction_stan_psi",-239.710432972686,29.642602068328,124447.682495284,393.651323785015,7.60120545680397,0.159324824978309,-248895.364990567,787.30264757003,"asteraceae"
"25","density...7",-0.503476643056436,2.08881644664504e-05,0.000734092435944047,-0.504942476451505,-0.504415145943833,-0.503943420706357,-0.503463938381914,-0.502988825171513,-0.502571487558292,-0.501981980988066,1235.09664398425,1.0043793027516,"interaction_stan_psi",-239.710432972686,29.642602068328,124447.682495284,393.651323785015,7.60120545680397,0.159324824978309,-248895.364990567,787.30264757003,"asteraceae"
"26","spain_pdsi...8",0.0010462861576411,2.74052139937875e-06,9.89699186159949e-05,0.000848547700051293,0.000919170699634444,0.000979118108303116,0.00104866294436543,0.00111351321777441,0.00117211953531296,0.00123688273206086,1304.18749298542,1.00575941685296,"interaction_stan_psi",-239.710432972686,29.642602068328,124447.682495284,393.651323785015,7.60120545680397,0.159324824978309,-248895.364990567,787.30264757003,"asteraceae"
"27","sigma...9",0.0679418858023535,7.69198697051806e-06,0.000146332522077702,0.0676626059901871,0.0677514649731097,0.0678410857114785,0.0679492717420182,0.0680467334510195,0.0681298664728602,0.0682057308497237,361.913377080212,1.01754774069265,"interaction_stan_psi",-239.710432972686,29.642602068328,124447.682495284,393.651323785015,7.60120545680397,0.159324824978309,-248895.364990567,787.30264757003,"asteraceae"
"28","mean_PPD...10",-0.140229414518179,7.29475599818141e-06,0.000309770705854802,-0.140856854823745,-0.140629224039149,-0.140430325979788,-0.140227145071482,-0.140017983847227,-0.139836058579799,-0.139643076385046,1803.26332957528,0.999038775607358,"interaction_stan_psi",-239.710432972686,29.642602068328,124447.682495284,393.651323785015,7.60120545680397,0.159324824978309,-248895.364990567,787.30264757003,"asteraceae"
"29","log-posterior...11",124447.331829452,0.0581983062064185,1.40555469123394,124443.647175844,124445.379442092,124446.664396926,124447.6621096,124448.357846305,124448.796013697,124449.054899494,583.276941061862,1.00056860035626,"interaction_stan_psi",-239.710432972686,29.642602068328,124447.682495284,393.651323785015,7.60120545680397,0.159324824978309,-248895.364990567,787.30264757003,"asteraceae"
"30","(Intercept)...12",-0.317021966215164,2.10892110880365e-05,0.00057197911717196,-0.318125745635949,-0.31774364511182,-0.317399300597473,-0.317031536964851,-0.316666036712596,-0.316282617385197,-0.315837333499788,735.596541272233,1.00046749547676,"interaction_stan_int",0,0,124687.392928254,395.589999619339,9.45577627206866,0.18304633292045,-249374.785856508,791.179999238677,"asteraceae"
"31","density...13",-0.48642142613343,3.7815779023034e-05,0.00103240124301661,-0.488384636337633,-0.487760587694984,-0.487101354092032,-0.486447848332093,-0.48573729229401,-0.485101682980379,-0.484348181441194,745.334002719399,1.00002274202945,"interaction_stan_int",0,0,124687.392928254,395.589999619339,9.45577627206866,0.18304633292045,-249374.785856508,791.179999238677,"asteraceae"
"32","spain_pdsi...14",0.00593201657388273,9.82387882061184e-06,0.00023485507212716,0.00549714063623116,0.00564238912690314,0.00576381548944428,0.00592099309365394,0.00609960117054043,0.00623131313350854,0.0064034685201402,571.523239530646,1.00059071267788,"interaction_stan_int",0,0,124687.392928254,395.589999619339,9.45577627206866,0.18304633292045,-249374.785856508,791.179999238677,"asteraceae"
