,density.quantile.number,country,density.quantile,interaction,proportion.positive,proportion.negative,mean.effect,std.effect
1,1,Australia,intercept,con-,66.67,33.33,0.004,0.002
2,2,Australia,low,con-,33.33,66.67,0.001,0.001
3,3,Australia,medium,con-,8.33,91.67,-0.003,0.001
4,4,Australia,high,con-,0,100,-0.009,0.002
1,5,Australia,intercept,hetero-,61.42,38.58,0.018,0.005
2,6,Australia,low,hetero-,55.12,44.88,0.009,0.005
3,7,Australia,medium,hetero-,46.46,53.54,-0.002,0.005
4,8,Australia,high,hetero-,33.86,66.14,-0.02,0.005
10,9,Spain,intercept,con-,75,25,0.009,0.004
11,10,Spain,low,con-,16.67,83.33,0.004,0.003
12,11,Spain,medium,con-,16.67,83.33,0,0.004
9,12,Spain,high,con-,0,100,-0.012,0.004
14,13,Spain,intercept,hetero-,63.64,36.36,0.021,0.009
15,14,Spain,low,hetero-,58.33,41.67,0.012,0.009
16,15,Spain,medium,hetero-,57.58,42.42,0.006,0.008
13,16,Spain,high,hetero-,48.48,51.52,-0.013,0.008
