spain_pdsi,year,month,year.month
0.472905730786055,2015,1,2015_1
-0.22461668424020384,2015,2,2015_2
-0.24301419293751556,2015,3,2015_3
-0.7230544169075611,2015,4,2015_4
-1.4799351218736536,2015,5,2015_5
-1.5464132217220816,2015,6,2015_6
-1.5175189578413772,2015,7,2015_7
-1.45113213303483,2015,8,2015_8
-1.4732766619177875,2015,9,2015_9
-0.9019624880951969,2015,10,2015_10
-1.2609420908196531,2015,11,2015_11
-1.5259964377324102,2015,12,2015_12
-1.537911167091608,2016,1,2016_1
-1.1455991912819479,2016,2,2016_2
-1.5087887198788423,2016,3,2016_3
-1.694860206027476,2016,4,2016_4
1.3520132292130986,2016,5,2016_5
1.2729934866205415,2016,6,2016_6
1.2291729859217666,2016,7,2016_7
1.2669087941807902,2016,8,2016_8
1.0688691740382068,2016,9,2016_9
1.797072470801274,2016,10,2016_10
2.0746455800646197,2016,11,2016_11
2.5275660214050957,2016,12,2016_12
2.1136824837234207,2017,1,2017_1
2.5279141917703765,2017,2,2017_2
2.7993757520287033,2017,3,2017_3
2.701672199597307,2017,4,2017_4
2.605283044907726,2017,5,2017_5
2.4007282582024145,2017,6,2017_6
2.390360277431636,2017,7,2017_7
2.3751571533431837,2017,8,2017_8
1.8727024571996453,2017,9,2017_9
1.420087174102489,2017,10,2017_10
1.6558674254650094,2017,11,2017_11
1.4637378375607595,2017,12,2017_12
1.3980368923092732,2018,1,2018_1
1.2322688436981486,2018,2,2018_2
2.4711093087991713,2018,3,2018_3
3.4396698963942596,2018,4,2018_4
3.9440798627585822,2018,5,2018_5
3.9997343920286386,2018,6,2018_6
3.8752080042636194,2018,7,2018_7
3.745729661225285,2018,8,2018_8
3.6266196500148764,2018,9,2018_9
4.049830703239133,2018,10,2018_10
4.797252002203535,2018,11,2018_11
-0.3203732322403827,2018,12,2018_12
-0.8273823670787392,2019,1,2019_1
-0.9881353749001449,2019,2,2019_2
-1.6171340044148061,2019,3,2019_3
-2.0130693280582994,2019,4,2019_4
-2.701514701269022,2019,5,2019_5
-2.7299988936866524,2019,6,2019_6
-2.645555432507274,2019,7,2019_7
-2.6206868260002736,2019,8,2019_8
-2.7528690702126912,2019,9,2019_9
-3.192105081425565,2019,10,2019_10
-3.4962868869022863,2019,11,2019_11
-3.3491271496004726,2019,12,2019_12
-3.30718058104958,2020,1,2020_1
-3.7564711084000426,2020,2,2020_2
-4.000011088458834,2020,3,2020_3
-3.6021886674595245,2020,4,2020_4
-3.3286954719861757,2020,5,2020_5
-3.3128525142057157,2020,6,2020_6
-3.2498686359646896,2020,7,2020_7
-3.197228370361948,2020,8,2020_8
-2.9191373544884525,2020,9,2020_9
-3.129103802124063,2020,10,2020_10
-2.937780435922678,2020,11,2020_11
-2.658438779955992,2020,12,2020_12
-2.090949996375506,2021,1,2021_1
-1.788740615280451,2021,2,2021_2
-1.8905734205173776,2021,3,2021_3
-1.9803431397848195,2021,4,2021_4
-2.4730977590953866,2021,5,2021_5
-2.1595660981299383,2021,6,2021_6
-2.146822197725353,2021,7,2021_7
-2.170062088904592,2021,8,2021_8
-1.4904593082690114,2021,9,2021_9
-2.062823767577503,2021,10,2021_10
-2.789161639384415,2021,11,2021_11
-2.713564492847445,2021,12,2021_12
