focal,country,n.obs,n.parameter,Rhat,Neff,mean.fec,sd.fec,mean.rmds,min.rmds,max.rmds,Sim.Bias,perc.K,p_loo,p_loo.check,elpd_loo,elpd_loo_se
ARCA,aus,732,42,1.004,655.133,62.128,133.672,128.263,125.625,309.190,52.550,0.007,21.3+-5.6,Good specification,-3647.419,47.023
GOBE,aus,141,50,1.000,5998.857,27.121,39.190,31.362,27.115,58.693,5.494,0.043,12.5+-2.7,Good specification,-535.619,18.721
GORO,aus,1874,50,1.002,2014.887,25.968,42.832,33.553,32.637,34.493,3.554,0.001,26.8+-5.1,Good specification,-7020.224644,63.14345861
HYGL,aus,1220,50,1.002,2910.689,7.889,16.716,14.875,14.604,18.138,0.014,0.000,28.4+-4.4,Good specification,-3470.624,47.643
LARO,aus,367,50,1.003,1737.448,9.619,15.328,13.312,12.622,54.310,0.112,0.000,12.4+-1.7,Good specification,-1103.102,24.156
MIMY,aus,881,46,1.001,2396.083,14.910,18.931,17.380,16.864,24.751,0.025,0.000,13.1+-1.3,Good specification,-3110.792,39.743
PEAI,aus,1151,50,1.001,6934.732,164.838,268.783,255.139,252.467,264.327,358.650,0.004,19.9+-4.2,Good specification,-6796.015,53.468
PLDE,aus,220,42,1.020,174.323,34.968,37.219,33.812,32.070,40.705,0.034,0.009,13+-2.1,Good specification,-979.456,15.98
POAR,aus,949,50,1.002,2263.747,166.277,399.307,380.032,372.919,490.679,374.506,0.005,21.4+-4.3,Good specification,-5366.944657,57.77440295
POLE,aus,891,50,1.000,7244.738,30.681,162.792,257003.252,145.778,5063608892.316,73836299.788,0.001,13.8+-2.4,Good specification,-2771.49,65.185
TRCY,aus,1199,50,1.001,6699.235,10.475,14.639,12.029,11.790,12.891,0.004,0.000,27.3+-3.8,Good specification,-3754.75,43.842
WAAC,aus,487,50,1.003,2373.993,72.563,155.853,144.857,139.271,570.206,167.068,0.006,15.6+-2.7,Good specification,-2168.374,50.483
CETE,spain,725,50,1.005,706.412,1202.526,1115.057,1106.200,1088.043,1249.186,96.781,0.000,12.6+-1.3,Good specification,-5864.479,25.132
CHFU,spain,646,50,1.000,7402.575,1096.235,1296.195,1220.690,1190.721,6205.760,863.870,0.003,13.1+-2.8,Good specification,-5060.422,34.846
HOMA,spain,1340,50,1.002,3509.875,79.165,132.615,108.615,106.258,132.752,87.195,0.001,70.3+-36.5,Good specification,-6630.638,130.99
LEMA,spain,1478,50,1.001,6683.403,966.331,1123.317,1103.076,1089.311,1223.794,28.490,0.000,17+-1.6,Good specification,-11576.329,45.723
ME.sp,spain,641,50,1.004,675.916,324.543,769.212,734.373,717.467,849.851,3773.847,0.000,18.5+-2.7,Good specification,-4081.515,49.015
PAIN,spain,1214,50,1.000,6709.432,210.804,312.225,230.004,220.875,248.302,1212.599,0.000,27.5+-3.3,Good specification,-6855.825,60.771
PLCO,spain,713,50,1.042,110.670,421.906,459.134,435.333,428.098,470.591,45.084,0.003,16.5+-2,Good specification,-4954.229,30.761
PO.sp,spain,1186,50,1.001,4237.546,641.007,698.392,665.898,657.650,872.860,77.233,0.002,19.7+-3.7,Good specification,-8769.11,41.565
SASO,spain,1199,50,1.001,4645.250,79.721,159.300,148.957,147.429,151.863,62.810,0.000,30.6+-4.3,Good specification,-6075.709,63.039
SCLA,spain,551,50,1.001,3565.476,100.681,122.892,111.538,108.413,114.988,28.295,0.000,16.1+-2.1,Good specification,-3008.917,28.937
SPRU,spain,244,50,1.000,7429.510,922.656,777.810,739.358,697.572,928.059,179.336,0.016,12+-2.1,Good specification,-1903.45,14.098
