"","trait","density.quantile","rhat","num.div","rhat.dist","median.intercept.model.1","CI.intercept.model.1","median.emitter.trait.model.1","CI.emitter.trait.model.1","median.receiver.trait.model.1","CI.receiver.trait.model.1","median.intercept.model.2","CI.intercept.model.2","median.dist.trait.model.2","CI.dist.trait.model.2","interactions"
"1","SRL","low",1.00576380499603,6,1.00461514553227,-0.0026088804664603,"[-0.028;0.024]",0.000267999414516717,"[-0.015;0.015]",-0.0121375508919904,"[-0.032;0.007]",-0.00259273252465015,"[-0.028;0.023]",-0.00725469594026956,"[-0.023;0.009]","Heterospecific"
"2","SRA","low",1.00535838818876,0,1.00837733452103,-0.00203210461168487,"[-0.026;0.023]",-0.00534786561514899,"[-0.02;0.009]",-0.0165387687822214,"[-0.034;0.002]",-0.00337122826221424,"[-0.028;0.022]",-0.00504985685462866,"[-0.022;0.011]","Heterospecific"
"3","Root diameter","low",1.00370765270874,1,1.00554156897009,-0.00222871838549802,"[-0.026;0.022]",-0.0180086305219517,"[-0.03;-0.005]",-0.0109281597686557,"[-0.031;0.009]",-0.00185558807504034,"[-0.027;0.022]",0.0121039897175406,"[-0.006;0.029]","Heterospecific"
"4","Root mass density","low",1.00514303127055,1,1.00565200037008,-0.00219009123648519,"[-0.027;0.025]",0.00200543221794081,"[-0.013;0.016]",0.0135015603624349,"[-0.006;0.032]",-0.00263470611827897,"[-0.028;0.024]",0.00576472707639109,"[-0.011;0.022]","Heterospecific"
"5","Floret width","low",1.00622228255016,0,1.00685078979483,0.00644667440097084,"[-0.019;0.031]",-0.0126351159111414,"[-0.025;0]",-0.0230422256774154,"[-0.042;-0.004]",0.00645351504658351,"[-0.02;0.032]",0.00381113172900749,"[-0.013;0.02]","Heterospecific"
"6","Seed mass","low",1.00320365018619,1,1.00307414819239,0.00627523864975052,"[-0.02;0.033]",-0.000124642056074264,"[-0.013;0.012]",0.00944486728406002,"[-0.012;0.031]",0.00564536478196251,"[-0.02;0.032]",0.00435193049608973,"[-0.01;0.019]","Heterospecific"
"7","C13 water use efficiency","low",1.00967319730272,0,1.00555807892434,-0.00195295128210427,"[-0.026;0.023]",0.0167990337377858,"[0.003;0.029]",0.0200979622305137,"[0.002;0.039]",-0.00251190570630622,"[-0.029;0.025]",-0.00564708653829771,"[-0.023;0.013]","Heterospecific"
"8","Leaf C to N ratio","low",1.00276745656039,1,1.00558871855571,-0.00227309142001633,"[-0.028;0.024]",0.000264391549857357,"[-0.015;0.015]",-0.00118134771074324,"[-0.022;0.019]",-0.00332506817215221,"[-0.028;0.021]",-0.000480116085940896,"[-0.015;0.015]","Heterospecific"
"9","SLA","low",1.00527912082048,1,1.00737786735743,0.00623628022035867,"[-0.02;0.033]",-0.0171973035084332,"[-0.029;-0.005]",-0.0214142774229361,"[-0.04;-0.002]",0.00677901835997713,"[-0.02;0.033]",0.00972218325138097,"[-0.007;0.025]","Heterospecific"
"10","Stem height","low",1.00174340264059,0,1.00635765556373,0.00526571942522008,"[-0.021;0.031]",-0.00449066466120596,"[-0.017;0.008]",-0.0193931348551641,"[-0.039;0]",0.00634427922309232,"[-0.02;0.033]",-0.00395399884457404,"[-0.02;0.011]","Heterospecific"
