"","trait","density.quantile","rhat","num.div","median.intercept","CI.intercept","median.receiver.trait","CI.receiver.trait","interactions"
"1","SRL","low",1.01551023434817,93,0.00431528915781988,"[-0.002;0.011]",-0.000714104215800342,"[-0.007;0.005]","Conspecific"
"2","SRA","low",1.0268604458421,87,0.00432506077386799,"[-0.002;0.01]",0.00165927208723446,"[-0.005;0.008]","Conspecific"
"3","Root diameter","low",1.0533334329206,146,0.00455895267288083,"[0;0.009]",0.00841822556666349,"[0.004;0.013]","Conspecific"
"4","Root mass density","low",1.01574729889729,187,0.00430859815869309,"[-0.001;0.01]",-0.00489230692892824,"[-0.011;0.001]","Conspecific"
"5","Floret width","low",1.05025812242282,260,0.00400989236317758,"[-0.001;0.008]",0.00599051937854636,"[0.001;0.01]","Conspecific"
"6","Seed mass","low",1.01444125052547,148,0.00411488637898131,"[-0.001;0.01]",0.00158313648807237,"[-0.004;0.008]","Conspecific"
"7","C13 water use efficiency","low",1.11693897599841,400,0.00452214644688056,"[-0.002;0.01]",-0.00235555159117286,"[-0.008;0.008]","Conspecific"
"8","Leaf C to N ratio","low",1.05447829675348,348,0.0047294557777813,"[-0.001;0.01]",0.000193112676595474,"[-0.007;0.006]","Conspecific"
"9","SLA","low",1.00828253896394,91,0.00395123949740501,"[-0.002;0.01]",0.00218098807807493,"[-0.004;0.008]","Conspecific"
"10","Stem height","low",1.03480066411828,110,0.00380481366716552,"[-0.002;0.009]",0.000147495494104603,"[-0.006;0.006]","Conspecific"
