"","trait","country","Focal.trait.perc.low.vs.high","Focal.trait.sd","Neigh.trait.perc.low.vs.high","Neigh.trait.sd","Dist.trait.perc.low.vs.high","Dist.trait.sd"
"1","All","both",49.89,8.11,60.45,9.72,56.57,8.15
"2","C13.water.use.efficiency","Australia",45.02,NA,60.65,NA,57.44,NA
"3","C13.water.use.efficiency","Spain",52.92,NA,76,NA,57.06,NA
"4","Floret.width","Australia",59.43,NA,68.95,NA,60.06,NA
"5","Floret.width","Spain",45.67,NA,65.1,NA,53.78,NA
"6","Leaf.C.to.N.ratio","Spain",50.45,NA,52.15,NA,52.7,NA
"7","Root.diameter","Spain",54.79,NA,74.6,NA,55.9,NA
"8","Root.length","Australia",57.98,NA,49.81,NA,61.24,NA
"9","Root.mass.density","Australia",49.66,NA,50.92,NA,45.99,NA
"10","Root.mass.density","Spain",40.49,NA,54.54,NA,46.42,NA
"11","Root.tips","Australia",54.89,NA,58.82,NA,79.39,NA
"12","Seed.mass","Australia",54.6,NA,63.02,NA,54.5,NA
"13","Seed.mass","Spain",45.84,NA,50.76,NA,46.29,NA
"14","SLA","Australia",50.59,NA,69.75,NA,61.97,NA
"15","SLA","Spain",31.93,NA,78.36,NA,60.93,NA
"16","SRA","Spain",33.88,NA,53.29,NA,49.08,NA
"17","SRL","Australia",55.74,NA,64.39,NA,69.46,NA
"18","SRL","Spain",45.85,NA,58.22,NA,52.95,NA
"19","Stem.height","Australia",59.89,NA,54,NA,55.94,NA
"20","Stem.height","Spain",58.37,NA,45.24,NA,53.65,NA
