"","row","column","cor","p"
"1","Flower width","Mean fecundity",0.306753206292004,0.332143742032795
"2","Flower width","Seed mass",0.131708018277718,0.683255520737345
"3","Mean fecundity","Seed mass",-0.459852222378469,0.132546137818863
"4","Flower width","Stem height",0.290196779804053,0.360195247680056
"5","Mean fecundity","Stem height",0.274596771613266,0.387727023742225
"6","Seed mass","Stem height",-0.135720511684322,0.67406855918699
"7","Flower width","SLA",-0.278173025325798,0.38132252695632
"8","Mean fecundity","SLA",0.0853180172416955,0.792062188138033
"9","Seed mass","SLA",0.0502867130350885,0.876663846282927
"10","Stem height","SLA",-0.544072407827426,0.0674437395813972
"11","Flower width","Canopy shape",0.656149378976936,0.0204926337966536
"12","Mean fecundity","Canopy shape",-0.0941851072573115,0.770936028554579
"13","Seed mass","Canopy shape",0.347301774627234,0.268682280966765
"14","Stem height","Canopy shape",0.194136575714163,0.545450465307648
"15","SLA","Canopy shape",-0.197747801420161,0.537851690532919
"16","Flower width","Root length",0.209818464903468,0.535773178442572
"17","Mean fecundity","Root length",0.297568591502992,0.37416387123802
"18","Seed mass","Root length",-0.210146860308253,0.535120236897071
"19","Stem height","Root length",-0.154512168831955,0.650105175741966
"20","SLA","Root length",0.310802299924698,0.3522304373511
"21","Canopy shape","Root length",0.483995634933455,0.131432315866516
"22","Flower width","Root tips",-0.240115549590233,0.476971583415688
"23","Mean fecundity","Root tips",0.523333841902864,0.0985273295702129
"24","Seed mass","Root tips",-0.270292877591953,0.421476689431779
"25","Stem height","Root tips",-0.190832278270729,0.574070220340291
"26","SLA","Root tips",0.394375994867698,0.230047880465191
"27","Canopy shape","Root tips",-0.177696786085295,0.601168579213886
"28","Root length","Root tips",0.679942947040384,0.021336363480867
"29","Flower width","C13 water use efficiency",-0.131601677856654,0.699714701499059
"30","Mean fecundity","C13 water use efficiency",0.109285693959199,0.749073739267192
"31","Seed mass","C13 water use efficiency",-0.624512709520423,0.0399730887342582
"32","Stem height","C13 water use efficiency",0.163413215856645,0.631157729117029
"33","SLA","C13 water use efficiency",0.310718551742981,0.352367092115053
"34","Canopy shape","C13 water use efficiency",-0.3680372064876,0.265440894136948
"35","Root length","C13 water use efficiency",0.0272574665169714,0.936593886069976
"36","Root tips","C13 water use efficiency",0.0484441137619613,0.887520223672712
"37","Flower width","SRL",-0.535748863737551,0.0726052939619917
"38","Mean fecundity","SRL",0.087228442696073,0.787499173361433
"39","Seed mass","SRL",0.0827595255582608,0.798182468333639
"40","Stem height","SRL",-0.393124889966611,0.206151307177785
"41","SLA","SRL",0.405147379504417,0.191372389087928
"42","Canopy shape","SRL",-0.153410020083698,0.634066184054077
"43","Root length","SRL",0.433920566293858,0.182393084824994
"44","Root tips","SRL",0.781543417827831,0.00449664281232232
"45","C13 water use efficiency","SRL",-0.187170680225691,0.581576070327577
"46","Flower width","Root mass density",0.439755373162933,0.175918773848652
"47","Mean fecundity","Root mass density",0.630363912661155,0.0376085695418404
"48","Seed mass","Root mass density",-0.318297073466816,0.340112953471804
"49","Stem height","Root mass density",0.432831631768077,0.183617183741934
"50","SLA","Root mass density",-0.45612389648362,0.15851586021261
"51","Canopy shape","Root mass density",-0.0709394167014153,0.835804213345039
"52","Root length","Root mass density",-0.317306781305054,0.341701308279768
"53","Root tips","Root mass density",-0.257097657667683,0.445347857109194
"54","C13 water use efficiency","Root mass density",-0.0473948379036419,0.889943579386453
"55","SRL","Root mass density",-0.535949421879766,0.0892479088304201
