"","row","column","cor","p"
"1","Leaf C to N ratio","C13 water use efficiency",-0.465776756176656,0.148774757949887
"2","Leaf C to N ratio","Canopy shape",-0.498852690425959,0.11828534340031
"3","C13 water use efficiency","Canopy shape",0.46561539767028,0.148934429273112
"4","Leaf C to N ratio","Root diameter",0.224583774177745,0.506747212905825
"5","C13 water use efficiency","Root diameter",-0.202444971608676,0.550519744570479
"6","Canopy shape","Root diameter",-0.0285893905045607,0.933501344063729
"7","Leaf C to N ratio","Stem height",0.445914107679409,0.16923968816273
"8","C13 water use efficiency","Stem height",-0.0444501696858701,0.896748896803472
"9","Canopy shape","Stem height",-0.240065259386196,0.477066700583413
"10","Root diameter","Stem height",0.31689314490885,0.342365902165614
"11","Leaf C to N ratio","Leaf area index",0.495257413269329,0.121385685313836
"12","C13 water use efficiency","Leaf area index",-0.310848199139945,0.352155553727024
"13","Canopy shape","Leaf area index",-0.343339581754048,0.301254516797157
"14","Root diameter","Leaf area index",0.561155651537885,0.0724780815426822
"15","Stem height","Leaf area index",0.0265348097565118,0.938272126041275
"16","Leaf C to N ratio","SLA",0.14619860037626,0.667971873510675
"17","C13 water use efficiency","SLA",-0.739055805244927,0.00935886086352888
"18","Canopy shape","SLA",-0.310610819648795,0.352542922768416
"19","Root diameter","SLA",0.120967320669661,0.723118342694611
"20","Stem height","SLA",-0.133181228115755,0.679877816424711
"21","Leaf area index","SLA",0.0462850788148011,0.892507543964323
"22","Leaf C to N ratio","SRA",0.448048970466556,0.166961438246684
"23","C13 water use efficiency","SRA",-0.602526082792896,0.049780070351586
"24","Canopy shape","SRA",-0.160315362376367,0.637730158999465
"25","Root diameter","SRA",-0.031189180440916,0.927467405309755
"26","Stem height","SRA",-0.180772784182244,0.594780440162056
"27","Leaf area index","SRA",0.0860692282374111,0.801335071661951
"28","SLA","SRA",0.733214870221757,0.0102438289543754
"29","Leaf C to N ratio","SRL",0.526811926505355,0.09590869087921
"30","C13 water use efficiency","SRL",-0.514438240714368,0.105436325288083
"31","Canopy shape","SRL",-0.787402149494811,0.00401530835137565
"32","Root diameter","SRL",-0.2474187676112,0.463249736609034
"33","Stem height","SRL",0.0465587089174031,0.891875267926288
"34","Leaf area index","SRL",0.0482003781876738,0.888083066945681
"35","SLA","SRL",0.437568133789656,0.178329013175627
"36","SRA","SRL",0.557186228923746,0.0749659470873723
"37","Leaf C to N ratio","Root mass density",-0.344713765917283,0.299195802237188
"38","C13 water use efficiency","Root mass density",0.51211637806463,0.107290111728954
"39","Canopy shape","Root mass density",-0.211260924037303,0.532907628245158
"40","Root diameter","Root mass density",-0.136095106568376,0.689894538348343
"41","Stem height","Root mass density",0.315863453418374,0.344023262906471
"42","Leaf area index","Root mass density",-0.139653348631288,0.682148437039295
"43","SLA","Root mass density",-0.584139737170033,0.0591565609955413
"44","SRA","Root mass density",-0.853315219630567,0.000836275122909402
"45","SRL","Root mass density",-0.20816849877057,0.539058749588293
"46","Leaf C to N ratio","Mean fecundity",0.450495545882501,0.164373909568683
"47","C13 water use efficiency","Mean fecundity",-0.426887091553234,0.190387433220507
"48","Canopy shape","Mean fecundity",-0.245197449039272,0.467404055858599
"49","Root diameter","Mean fecundity",-0.296485195218853,0.375989515797041
"50","Stem height","Mean fecundity",0.207074779805613,0.541241227689975
"51","Leaf area index","Mean fecundity",0.000611292243009817,0.998576784241601
"52","SLA","Mean fecundity",0.596702953705372,0.0526305529087439
"53","SRA","Mean fecundity",0.721977919845894,0.0121150308239972
"54","SRL","Mean fecundity",0.50760989757514,0.110948202620832
"55","Root mass density","Mean fecundity",-0.474381308842151,0.140415136045973
