"","country","parameters","trait","estimate.positive","estimate.neg","estimate.median","estimate.probabilitydirection","trait.names","significance.pos","significance.neg","significance"
"1","Australia","Focal trait","SRL",34,66,-0.00448027026305636,66,"Specific root length","","",""
"2","Australia","Focal trait","Root mass density",16.85,83.15,-0.0109821966429414,83.15,"Root tissue density","","",""
"3","Australia","Focal trait","Flower width",15.75,84.25,-0.0101407290460449,84.25,"Flower width","","",""
"4","Australia","Focal trait","C13 water use efficiency",5.5,94.5,-0.0159064410196045,94.5,"Water use efficiency","˙","","˙"
"5","Australia","Focal trait","SLA",59.45,40.55,0.00243173813112851,59.45,"Specific leaf area","","",""
"6","Australia","Focal trait","Stem height",20.175,79.825,-0.00878977587029445,79.825,"Stem height","","",""
"7","Australia","Focal trait -
Neighbor trait","SRL",17.625,82.375,-0.0073339727193083,82.375,"Specific root length","","",""
"8","Australia","Focal trait -
Neighbor trait","Root mass density",13.8,86.2,-0.00865289017606924,86.2,"Root tissue density","","",""
"9","Australia","Focal trait -
Neighbor trait","Flower width",68.15,31.85,0.0042432051946919,68.15,"Flower width","","",""
"10","Australia","Focal trait -
Neighbor trait","C13 water use efficiency",1.725,98.275,-0.0167231027508642,98.275,"Water use efficiency","*","","*"
"11","Australia","Focal trait -
Neighbor trait","SLA",87.4,12.6,0.00882027807988273,87.4,"Specific leaf area","","",""
"12","Australia","Focal trait -
Neighbor trait","Stem height",29.025,70.975,-0.00460854227969759,70.975,"Stem height","","",""
"13","Australia","Neighbor trait","SRL",77.15,22.85,0.00583719448972819,77.15,"Specific root length","","",""
"14","Australia","Neighbor trait","Root mass density",69.8,30.2,0.00360259229305404,69.8,"Root tissue density","","",""
"15","Australia","Neighbor trait","Flower width",9.7,90.3,-0.00889382353143053,90.3,"Flower width","˙","","˙"
"16","Australia","Neighbor trait","C13 water use efficiency",90.55,9.45,0.00931174831767612,90.55,"Water use efficiency","","˙","˙"
"17","Australia","Neighbor trait","SLA",11.8,88.2,-0.00864077341505759,88.2,"Specific leaf area","","",""
"18","Australia","Neighbor trait","Stem height",49.725,50.275,-7.63835311242689e-05,50.275,"Stem height","","",""
"19","Spain","Focal trait","SRL",18.725,81.275,-0.0122342594318847,81.275,"Specific root length","","",""
"20","Spain","Focal trait","Root mass density",81.9,18.1,0.0134389597211015,81.9,"Root tissue density","","",""
"21","Spain","Focal trait","Flower width",6.925,93.075,-0.022446434863296,93.075,"Flower width","˙","","˙"
"22","Spain","Focal trait","C13 water use efficiency",92.5,7.5,0.0200417676824565,92.5,"Water use efficiency","","˙","˙"
"23","Spain","Focal trait","SLA",7.9,92.1,-0.02158791194059,92.1,"Specific leaf area","˙","","˙"
"24","Spain","Focal trait","Stem height",11.35,88.65,-0.0181015604644909,88.65,"Stem height","","",""
"25","Spain","Focal trait -
Neighbor trait","SRL",27.575,72.425,-0.00704479053112533,72.425,"Specific root length","","",""
"26","Spain","Focal trait -
Neighbor trait","Root mass density",68.725,31.275,0.00634267050800508,68.725,"Root tissue density","","",""
"27","Spain","Focal trait -
Neighbor trait","Flower width",61.4,38.6,0.00377654584382769,61.4,"Flower width","","",""
"28","Spain","Focal trait -
Neighbor trait","C13 water use efficiency",36.45,63.55,-0.00505371369073282,63.55,"Water use efficiency","","",""
"29","Spain","Focal trait -
Neighbor trait","SLA",76.6,23.4,0.00932217480358954,76.6,"Specific leaf area","","",""
"30","Spain","Focal trait -
Neighbor trait","Stem height",35.925,64.075,-0.00416405922573687,64.075,"Stem height","","",""
"31","Spain","Neighbor trait","SRL",51.525,48.475,0.00043204567205013,51.525,"Specific root length","","",""
"32","Spain","Neighbor trait","Root mass density",55.55,44.45,0.00148207380223975,55.55,"Root tissue density","","",""
"33","Spain","Neighbor trait","Flower width",8.825,91.175,-0.0128051511673647,91.175,"Flower width","˙","","˙"
"34","Spain","Neighbor trait","C13 water use efficiency",94.775,5.225,0.0171205526695909,94.775,"Water use efficiency","","˙","˙"
"35","Spain","Neighbor trait","SLA",3.525,96.475,-0.0167334755584839,96.475,"Specific leaf area","*","","*"
"36","Spain","Neighbor trait","Stem height",35.275,64.725,-0.00363653880151227,64.725,"Stem height","","",""
