"","parameters","trait","Estimate % of overlap","bias","se","Probabitlity of superiority","direction of superiority","trait.names"
"1","Focal trait","SRL",0.726333405262645,-0.0014573323563658,0.00907432674929136,0.331,"Australia > Spain","Specific root length"
"2","Focal trait","Root mass density",0.351641357349507,-0.000191118443375771,0.00772559589067411,0.894,"Australia > Spain","Root tissue density"
"3","Focal trait","Flower width",0.591752798899954,-0.000572626378799179,0.00916096044596659,0.24475,"Australia > Spain","Flower width"
"4","Focal trait","C13 water use efficiency",0.133147816541596,-0.000261488921497272,0.00497376615517728,0.97825,"Australia > Spain","Water use efficiency"
"5","Focal trait","SLA",0.349334902545814,-0.000559650162378467,0.00792546752845358,0.1055,"Australia > Spain","Specific leaf area"
"6","Focal trait","Stem height",0.679942119064304,-0.000203979355738237,0.00924383590451957,0.3095,"Australia > Spain","Stem height"
"7","Neighbor trait","SRL",0.731101065226819,-0.000991096434759253,0.00907322096338329,0.34425,"Australia > Spain","Specific root length"
"8","Neighbor trait","Root mass density",0.771919688600339,-0.000831562696263166,0.00932048903099728,0.429,"Australia > Spain","Root tissue density"
"9","Neighbor trait","Flower width",0.784042637852015,-0.00131389394151094,0.00951547063619983,0.3845,"Australia > Spain","Flower width"
"10","Neighbor trait","C13 water use efficiency",0.615779226858871,-0.000801658814635453,0.00944858332451059,0.7345,"Australia > Spain","Water use efficiency"
"11","Neighbor trait","SLA",0.590286622161,-0.000306345475776459,0.00873096894090135,0.2465,"Australia > Spain","Specific leaf area"
"12","Neighbor trait","Stem height",0.811263572427984,-0.00252546938180886,0.00965253423600175,0.38375,"Australia > Spain","Stem height"
"13","Focal trait -
Neighbor trait","SRL",0.803658704565616,-0.000426657765427274,0.00962704273936382,0.497,"Australia > Spain","Specific root length"
"14","Focal trait -
Neighbor trait","Root mass density",0.453204457071492,-0.000197449752038337,0.00848586327308864,0.84075,"Australia > Spain","Root tissue density"
"15","Focal trait -
Neighbor trait","Flower width",0.81141051332504,-0.000567984892612228,0.00924853665363454,0.4895,"Australia > Spain","Flower width"
"16","Focal trait -
Neighbor trait","C13 water use efficiency",0.533156244936455,-0.000258628469438582,0.00868710828540069,0.76325,"Australia > Spain","Water use efficiency"
"17","Focal trait -
Neighbor trait","SLA",0.776796499045456,-1.72174669588188e-06,0.0092640245240186,0.50425,"Australia > Spain","Specific leaf area"
"18","Focal trait -
Neighbor trait","Stem height",0.822749560359295,-0.000341958055708469,0.00919333776066768,0.51,"Australia > Spain","Stem height"
